,source,target
158,Songhyun Investment,Altos Ventures
159,Legend Capital,Shunwei Capital Partners
160,Legend Capital,5Y Capital
161,Legend Capital,CDH Investments
162,Phoenix New Media,Tianjin Haihe Industry Fund
163,Goldman Sachs,Dell Technologies Capital
164,Goldman Sachs,TPG Growth
165,Goldman Sachs,Khosla Ventures
166,Goldman Sachs,KKR
167,Goldman Sachs,Insight Partners
168,Goldman Sachs,JERA
169,Goldman Sachs,Norwest Venture Partners
170,Goldman Sachs,Matrix Partners China
171,Goldman Sachs,Alibaba Group
172,Goldman Sachs,Institutional Venture Partners
173,Goldman Sachs,New Enterprise Associates
174,Goldman Sachs,Insights Venture Partners
175,Goldman Sachs,Asian Development Bank
176,Goldman Sachs,Vattenfall
177,Goldman Sachs,Promecap
178,Goldman Sachs,Pritzker Group Venture Capital
179,Goldman Sachs,VebVentures
180,Goldman Sachs,BNP Paribas
181,Goldman Sachs,Venrock
182,Goldman Sachs,Leonardo DiCaprio
183,Goldman Sachs,Volkswagen Group
184,Goldman Sachs,General Atlantic
185,Goldman Sachs,Founders Fund
186,Dell Technologies Capital,Norwest Venture Partners
187,Dell Technologies Capital,Bain Capital Ventures
188,Dell Technologies Capital,Pitango Venture Capital
189,Dell Technologies Capital,Amadeus Capital Partners
190,Target Global,Durable Capital Partners
191,Target Global,General Catalyst
192,PayPal Ventures,Temasek
193,PayPal Ventures,MasterCard
194,Burda Principal Investments,Insight Partners
195,Burda Principal Investments,Accel
196,China Health Industry Investment Fund,and Sequoia Capital China
197,China Health Industry Investment Fund,China Renaissance
198,Kite Ventures,Notion Capital
199,Kite Ventures,Scentan Ventures
200,Shunwei Capital Partners,MindWorks Ventures
201,Shunwei Capital Partners,5Y Capital
202,Shunwei Capital Partners,QingSong Fund
203,Shunwei Capital Partners,Tiger Global Management
204,Shunwei Capital Partners,China Media Group
205,Shunwei Capital Partners,Warburg Pincus
206,Shunwei Capital Partners,Guangzhou Huiyin Aofeng Equity Investment Fund
207,Shunwei Capital Partners,Xiang He Capital
208,Times Internet,SoftBank Group
209,Times Internet,Nexus Venture Partners
210,Founder Collective,Wellington Management
211,Founder Collective,Caffeinated Capital
212,Founder Collective,CRV
213,Founder Collective,Sequoia Capital
214,Insight Partners,Ireland Strategic Investment Fund
215,Insight Partners,Norwest Venture Partners
216,Insight Partners,Accel
217,Insight Partners,DST Global
218,Insight Partners,MHS Capital
219,Insight Partners,TPG Alternative & Renewable Technologies
220,Insight Partners,Genesis Partners
221,Insight Partners,Nexus Venture Partners
222,Insight Partners,CRV
223,Insight Partners,VebVentures
224,Insight Partners,Entree Capital
225,K2 Ventures,IDG Capital
226,K2 Ventures,ZhenFund
227,K2 Ventures,Matrix Partners China
228,Foundry Group,Mithril
229,Foundry Group,iNovia Capital
230,Foundry Group,Pitango Venture Capital
231,Foundry Group,DFJ Growth Fund
232,Ridge Ventures,NewView Capital
233,Ridge Ventures,Maveron
234,Orange Digital Ventures,Access Industries
235,Orange Digital Ventures,Passion Capital
236,Orange Digital Ventures,Thrive Capital
237,Baidu,Vision Plus Capital
238,Baidu,Morningside Venture Capital
239,Baidu,Huasheng Capital
240,Baidu,JD.com
241,Baidu,Sequoia Capital
242,Baidu,IDG Capital
243,Baidu,China Minsheng Investment
244,Baidu,Wanxin Media
245,Baidu,Tencent
246,Highland Capital Partners,Bain Capital Ventures
247,Highland Capital Partners,Kleiner Perkins Caufield & Byers
248,Highland Capital Partners,Madrona Venture Group
249,QED Investors,Monashees+
250,QED Investors,Silicon Valley Bank
251,QED Investors,European Founders Fund
252,QED Investors,Andreessen Horowitz
253,Comcast Ventures,Accel Partners
254,Comcast Ventures,Sequoia Capital
255,Comcast Ventures,Forerunner Ventures
256,Comcast Ventures,Global Founders Capital
257,Comcast Ventures,New Enterprise Associates
258,Comcast Ventures,Horizons Ventures
259,Comcast Ventures,General Atlantic
260,Huasheng Capital,Tencent
261,Walden Venture Capital,Global Catalyst Partnera
262,Cox Automotive,Ford Motor Company
263,Cox Automotive,Amazon
264,Alibaba Group,KKR
265,Alibaba Group,Sapphire Ventures
266,Alibaba Group,Borui Capital
267,Alibaba Group,Yinxinggu Capital
268,Alibaba Group,Intel Capital
269,Alibaba Group,Qualcomm Ventures
270,Alibaba Group,Legend Star
271,Alibaba Group,Bessemer Venture Partners
272,Alibaba Group,Telling Telecommunication Holding Co.
273,Alibaba Group,China Everbright Investment Management
274,Alibaba Group,TAL Education Group
275,Alibaba Group,Helion Venture Partners
276,Alibaba Group,Blackrock
277,Alibaba Group,SoftBankGroup
278,Alibaba Group,Ping An Insurance
279,Alibaba Group,IDG Capital
280,Alibaba Group,Boyu Capital
281,Alibaba Group,Star VC
282,Alibaba Group,Infore Capital
283,Promus Ventures,Two Sigma Ventures
284,Promus Ventures,NextView Ventures
285,Nintendo,Spark Capital
286,Nintendo,Pokemon Company International
287,Eastern Bell Capital,STO Express
288,Berkshire Partners,Norwest Venture Partners
289,Batavia Incubator,500 Startups
290,Batavia Incubator,Emtek Group
291,Contour Venture Partners,Core Capital Partners
292,Contour Venture Partners,Battery Ventures
293,JD.com,Tiantu Capital
294,JD.com,Vision Plus Capital
295,JD.com,Morningside Ventures
296,Composite Capital Partners,Sina Weibo Fund
297,Composite Capital Partners,Zhiping Capital
298,Canapi Ventures,TTV Capital
299,Canapi Ventures,Relay Ventures
300,Accel India,Norwest Venture Partners
301,Accel India,SAIF Partners
302,Breyer Capital,Institutional Venture Partners
303,Breyer Capital,General Catalyst
304,Breyer Capital,Makena Capital Management
305,Breyer Capital,TPG Growth
306,Upfront Ventures,Andreessen Horowitz
307,Upfront Ventures,Webb Investment Network
308,Upfront Ventures,D1 Capital Partners
309,Upfront Ventures,Tao Capital Partners
310,Leonardo DiCaprio,Promecap
311,Redpoint Ventures,Harrison Metal
312,Redpoint Ventures,Lightspeed Venture Partners
313,Redpoint Ventures,Bessemer Venture Partners
314,Redpoint Ventures,True Ventures
315,Redpoint Ventures,Chengwei Capital
316,Redpoint Ventures,Viking Global Investors
317,Redpoint Ventures,Mayfield Fund
318,Redpoint Ventures,QiMing Venture Partners
319,Redpoint Ventures,Sina Weibo
320,Redpoint Ventures,Kleiner Perkins Caufield & Byers
321,Giza Venture Capital,Insight Venture Partners
322,Giza Venture Capital,Gemini Israel Ventures
323,Guangdong Technology Financial Group,Oriza Holdings
324,Zeev Ventures,TLV Partners
325,Zeev Ventures,Lightspeed Venture Partners
326,Zeev Ventures,Andreessen Horowitz
327,Zeev Ventures,Ribbit Capital
328,Zeev Ventures,01 Advisors
329,Zeev Ventures,Group 11
330,and Sequoia Capital China,China Renaissance
331,Qumra Capital,Genesis Partners
332,Qumra Capital,Magma Venture Partners
333,Qumra Capital,Entree Capital
334,Qumra Capital,Pitango Venture Capital
335,China Development Bank Capital,CITIC Securities International
336,China Development Bank Capital,China Life Insurance
337,Ping An Insurance,KKR
338,Star VC,Infore Capital
339,Star VC,IDG Capital
340,Zhongrong International Trust,People Electrical Appliance Group China
341,Aglae Ventures,Alven Capital
342,Aglae Ventures,Global Founders Capital
343,Emtek Group,500 Startups
344,Pokemon Company International,Spark Capital
345,Index Ventures,General Catalyst
346,Index Ventures,Scale Venture Partners
347,Index Ventures,Lightspeed Venture Partners
348,Index Ventures,CRV
349,Index Ventures,Y Combinator
350,Index Ventures,Advent International
351,Index Ventures,Kleiner Perkins Caufield & Byers
352,Index Ventures,Benchmark
353,Index Ventures,Battery Ventures
354,Index Ventures,ICONIQ Capital
355,Index Ventures,First Round Capital
356,Index Ventures,Greylock Partners
357,Index Ventures,Airbus Ventures
358,Index Ventures,Sequoia Capital
359,Index Ventures,Insight Venture Partners
360,Index Ventures,Accel Partners
361,Index Ventures,General Atlantic
362,Index Ventures,Accel
363,Index Ventures,Atlos Ventures
364,Index Ventures,Thrive Capital
365,Index Ventures,Google Ventures
366,K9 Ventures,Bessemer Venture Partners
367,K9 Ventures,Trinity Ventures
368,JERA,Asian Development Bank
369,Koch Disruptive Technologies,GGV Capital
370,Koch Disruptive Technologies,GE Healthcare
371,Koch Disruptive Technologies,Teamworthy Ventures
372,NXC,IMM Investment
373,Borui Capital,Boyu Capital
374,Amadeus Capital Partners,Pitango Venture Capital
375,SoftBank Group,Mountain Nazca
376,SoftBank Group,Wing Venture Capital
377,SoftBank Group,True Ventures
378,SoftBank Group,CRV
379,SoftBank Group,Spark Capital
380,SoftBank Group,CreditEase Fintech Investment Fund
381,SoftBank Group,Digital Sky Technologies
382,SoftBank Group,Matrix Partners India
383,SoftBank Group,DST Global
384,SoftBank Group,DN Capital
385,SoftBank Group,Nexus Venture Partners
386,SoftBank Group,Gaorong Capital
387,SoftBank Group,Piton Capital
388,SoftBank Group,Greylock Partners
389,SoftBank Group,Sequoia Capital
390,SoftBank Group,Lightspeed India Partners
391,SoftBank Group,Andreessen Horowitz
392,SoftBank Group,Accel Partners
393,SoftBank Group,General Atlantic
394,SoftBank Group,BMW i Ventures
395,SoftBank Group,GS Growth
396,SoftBank Group,SAIF Partners India
397,SoftBank Group,Atomico
398,SoftBank Group,Kaszek Ventures
399,SoftBank Group,TA Associates
400,SoftBank Group,Temasek Holdings
401,SoftBank Group,Tiger Global Management
402,SoftBank Group,Valiant Capital Partners
403,SoftBank Group,Data Collective
404,Benchmark,Greylock Partners
405,Benchmark,Bessemer Venture Partners
406,Benchmark,Battery Ventures
407,Benchmark,Sequoia Capital
408,Benchmark,Y Combinator
409,Benchmark,Institutional Venture Partners
410,Benchmark,Matrix Partners
411,Durable Capital Partners,General Catalyst
412,Qualcomm Ventures,China Internet Investment Fund
413,Qualcomm Ventures,WRVI Capital
414,Qualcomm Ventures,Obvious Ventures
415,Qualcomm Ventures,Bessemer Venture Partners
416,Qualcomm Ventures,S-Cubed Capital
417,Qualcomm Ventures,Andreessen Horowitz
418,Qualcomm Ventures,SoftBank Group. Monashees+
419,Qualcomm Ventures,Kleiner Perkins Caufield & Byers
420,Draper Fisher Jurvetson,Rothenberg Ventures
421,Draper Fisher Jurvetson,Founders Fund
422,DAG Ventures,Benchmark Capital
423,DAG Ventures,Insight Venture Partners
424,East Ventures,Global Founders Capital
425,East Ventures,Expedia Inc.
426,Madrona Venture Group,Kleiner Perkins Caufield & Byers
427,Formation Group,Warburg Pincus
428,Insights Venture Partners,Pritzker Group Venture Capital
429,ARCH Venture Partners,Foresite Capital
430,ARCH Venture Partners,Altitude Life Science Ventures
431,Astral Capital,Accel
432,Astral Capital,Summit Partners
433,Escala Capital,LGT Capital Partners
434,Escala Capital,Cambridge Innovation Capital
435,Wakefield Group,Sequoia Capital
436,Wakefield Group,Google Ventures
437,Sutter Hill Ventures,Bessemer Venture Partners
438,Sutter Hill Ventures,Matrix Partners
439,Bloomberg Beta,Norwest Venture Partners
440,Bloomberg Beta,Newmark Knight Frank
441,Bloomberg Beta,First Round Capital
442,Bloomberg Beta,Founders Fund
443,Fosun RZ Capital,Shenzhen Qianhe Capital Management Co.
444,Fosun RZ Capital,Oceanwide Holdings
445,A&NN,Rusnano
446,Tiantu Capital Co.,Temasek Holdings Ltd.
447,Tiantu Capital Co.,Advantech Capital
448,Greycroft,FinLab
449,Greycroft,Sands Capital
450,Greycroft,Ignition Partners
451,Greycroft,Revolution Growth
452,Greycroft,e.ventures
453,Greycroft,Eight Roads Ventures
454,Geodesic Capital,Khosla Ventures
455,Geodesic Capital,Lightspeed Venture Partners
456,GS Growth,TA Associates
457,Cowboy Ventures,New Enterprise Associates
458,Cowboy Ventures,Pear
459,Tiger Global Management,Softbank Corp.
460,Tiger Global Management,ZhenFund
461,Tiger Global Management,capitalG
462,Tiger Global Management,T. Rowe Price
463,Tiger Global Management,KKR
464,Tiger Global Management,Y Combinator
465,Tiger Global Management,Matrix Partners India
466,Tiger Global Management,ICONIQ Capital
467,Tiger Global Management,Ardian
468,Tiger Global Management,Tao Capital Partners
469,Tiger Global Management,Lerer Hippeau Ventures
470,Tiger Global Management,Bessemer Venture Partners
471,Tiger Global Management,Granite Hill Capital Partners
472,Tiger Global Management,Blue Lake Capital
473,Tiger Global Management,Accel
474,Tiger Global Management,FirstMark Capital
475,Tiger Global Management,Global Asset Capital
476,Tiger Global Management,Google Ventures
477,Tiger Global Management,Matrix Partners
478,Tiger Global Management,Data Collective
479,Pine Brook,American Express Ventures
480,Pine Brook,Kleiner Perkins Caufield & Byers
481,Entree Capital,Genesis Partners
482,Blue Label Telecoms,Net1 UEPS Technologies
483,General Catalyst,Lux Capital
484,General Catalyst,Digital Currency Group
485,General Catalyst,SignalFire
486,General Catalyst,Initialized Capital
487,General Catalyst,Institutional Venture Partners
488,General Catalyst,Foundation Capital
489,General Catalyst,Andreessen Horowitz
490,General Catalyst,dmg ventures
491,General Catalyst,Warburg Pincus
492,General Catalyst,Accel Partners
493,General Catalyst,Accel
494,General Catalyst,L Catterton
495,General Catalyst,Acequia Capital
496,General Catalyst,Matrix Partners
497,Smash Ventures,KKR
498,KKR,North Bridge Growth Equity
499,KKR,ES Ventures
500,KKR,Elephant Venture Capital
501,KKR,Ardian
502,KKR,Summit Partners
503,KKR,TowerBrook Capital Partners
504,KKR,Ten Eleven Ventures
505,Sapphire Ventures,Intel Capital
506,MasterCard,Temasek
507,Walgreens Boots Alliance,Kinnevik
508,Walgreens Boots Alliance,Oak HC/FT Partners
509,Mizuho Financial Group,Toyota Motor Corporation
510,Mizuho Financial Group,FANUC
511,Motus Ventures,Delphi Automotive
512,Motus Ventures,Samsung Ventures
513,Greenoaks Capital Management,Jackson Square Ventures
514,Greenoaks Capital Management,Ribbit Capital
515,Greenoaks Capital Management,DST Global
516,Greenoaks Capital Management,Softbank Group
517,Microsoft Ventures,US Venture Partners
518,Microsoft Ventures,Kleiner Perkins Caufield & Byers
519,Chiratae Ventures,PremjiInvest
520,Chiratae Ventures,Softbank
521,Hillhouse Capital Management,Morningside Venture Capital
522,Hillhouse Capital Management,Shenzhen Capital Group
523,Hillhouse Capital Management,China Reform Fund
524,Hillhouse Capital Management,Linear Venture
525,North Bridge Growth Equity,ES Ventures
526,Wellington Management,Sequoia Capital
527,Wellington Management,Founders Fund
528,Wellington Management,Thrive Capital
529,China Minsheng Investment,Wanxin Media
530,Artiman Ventures,Plug and Play Ventures
531,Artiman Ventures,Anthos Capital
532,Matrix Partners China,Bright Venture Capita
533,Matrix Partners China,JD Capital Management
534,Matrix Partners China,58.com
535,Matrix Partners China,IDG Capital
536,Matrix Partners China,Shenzhen Capital Group
537,Matrix Partners China,Prometheus Capital
538,Freigeist Capital,Obvious Ventures
539,Freigeist Capital,Atomico
540,K2 Global,500 Startups
541,Initialized Capital,Kleiner Perkins Caufield & Byers
542,Initialized Capital,Y Combinator
543,Initialized Capital,SignalFire
544,BDC Venture Capital,Propulsion Ventures
545,BDC Venture Capital,Fonds de Solidarite FTQ
546,IDInvest Partners,Seaya Ventures
547,IDInvest Partners,Lakestar
548,Toscafund Asset Management,Clermont Group
549,Toscafund Asset Management,Coltrane Asset Management
550,Bright Venture Capita,Shenzhen Capital Group
551,Airbus Ventures,Advent International
552,True,Novator Partners
553,True,Causeway Media Partners
554,Storm Ventures,DJF
555,Storm Ventures,Salesforce Ventures
556,Ribbit Capital,TLV Partners
557,Ribbit Capital,DCM Ventures
558,Ribbit Capital,DST Global
559,Ribbit Capital,VY Capital
560,Ribbit Capital,index Ventures
561,Ribbit Capital,Union Square Ventures
562,Ribbit Capital,RPM Ventures
563,Highland Europe,Spark Capital
564,Highland Europe,Sunstone Capital
565,IFC,Ajinomoto
566,Venrock,Greylock Partners
567,Venrock,F-Prime Capital
568,Venrock,SV Angel
569,Venrock,Andreessen Horowitz
570,Venrock,Institutional Venture Partners
571,Venrock,Providence Ventures
572,Tenaya Capital,Nexus Venture Partners
573,Tenaya Capital,Sequoia Capital
574,Kleiner Perkins Caulfield & Byers,Blackrock
575,Kleiner Perkins Caulfield & Byers,Google Ventures
576,RPM Ventures,DCM Ventures
577,Blackrock,SoftBankGroup
578,Blackrock,Connecticut Innovations
579,Blackrock,World Lab Innovation
580,Blackrock,capitalG
581,Blackrock,Google Ventures
582,Granite Hill Capital Partners,Data Collective
583,Summerhill Venture Partners,Mithril Capital Management
584,Summerhill Venture Partners,Union Square Ventures
585,Baillie Gifford & Co.,Alaska Permanent Fund
586,Baillie Gifford & Co.,Sequoia Capital
587,Baillie Gifford & Co.,Google Ventures
588,Baillie Gifford & Co.,Activant Capital Group
589,Bain Capital Ventures,Bessemer Venture Partners
590,Bain Capital Ventures,Tribeca Venture Partners
591,Bain Capital Ventures,Kleiner Perkins Caufield & Byers
592,Craft Ventures,Tusk Ventures
593,Craft Ventures,Sequoia Capital
594,Core Capital Partners,Battery Ventures
595,GSV Capital,New Enterprise Associates
596,GSV Capital,Kleiner Perkins Caufield & Byers
597,GSV Capital,Learn Capital
598,Sequoia Capital Israel,Scale Venture Partners
599,Sequoia Capital Israel,Commerce Ventures
600,Viking Global Investors,Lightspeed Venture Partners
601,Clal Industries and Investments,Access Industries
602,DFJ Growth,Union Square Ventures
603,DFJ Growth,Y Combinator
604,Temasek Holdings,TPG Growth
605,Temasek Holdings,DST Global
606,Temasek Holdings,Khosla Ventures
607,Temasek Holdings,Ceyuan Ventures
608,Temasek Holdings,March Capital Partners
609,Temasek Holdings,Andreessen Horowitz
610,Temasek Holdings,QiMing Venture Partners
611,Temasek Holdings,Silverlink Capital
612,Temasek Holdings,Visa
613,Temasek Holdings,Horizons Ventures
614,Union Square Ventures,Altos Ventures
615,Union Square Ventures,capitalG
616,Union Square Ventures,VY Capital
617,Union Square Ventures,Spark Capital
618,Union Square Ventures,Y Combinator
619,Union Square Ventures,Menlo Ventures
620,Union Square Ventures,Costanoa Ventures
621,Union Square Ventures,Mithril Capital Management
622,Union Square Ventures,New Enterprise Associates
623,Foxconn,Tiger Global management
624,Foxconn,Tencent
625,FAW Group,Tus Holdings
626,TPG Growth,Makena Capital Management
627,TPG Growth,Andreessen Horowitz
628,TPG Growth,Insight Venture Partners
629,TPG Growth,Sound Ventures
630,TPG Growth,Nor-Cal Invest
631,DCM Ventures,Morningside Venture Capital
632,DCM Ventures,Northern Light Venture Capital
633,DCM Ventures,IDG Capital
634,DCM Ventures,Baseline Ventures
635,DCM Ventures,Institutional Venture Partners
636,e.ventures,FinLab
637,Gopher Asset Management,Shanghai Electric Group
638,Quadrille Capital,Global Bridge Capital
639,Quadrille Capital,New Enterprise Associates
640,Unbound,Moore Strategic Ventures
641,Unbound,DST Global
642,Novator Partners,Causeway Media Partners
643,RRE Ventures,August Capital
644,RRE Ventures,Tiger Global
645,RRE Ventures,New Enterprise Associates
646,RRE Ventures,SV Angel
647,Crowdcube,TSG Consumer Partners
648,Commerce Ventures,Scale Venture Partners
649,SignalFire,Softbank Group
650,SignalFire,AME Cloud Ventures
651,Sands Capital,Revolution Growth
652,Playground Global,Tribe Capital
653,Playground Global,Bond
654,Propulsion Ventures,Fonds de Solidarite FTQ
655,Genesis Partners,Opus Capital
656,Genesis Partners,Battery Ventures
657,Maveron,NewView Capital
658,Seaya Ventures,Otter Rock Capital
659,Seaya Ventures,Lakestar
660,Redpoint e.ventures,Andreessen Horowitz
661,Redpoint e.ventures,Kaszek Ventures
662,Redpoint e.ventures,Sequoia Capital
663,Redpoint e.ventures,DST Global
664,US Venture Partners,BlueCross BlueShield Venture Partners
665,US Venture Partners,Kleiner Perkins Caufield & Byers
666,Benchmark Capital,Insight Venture Partners
667,China Reform Fund,Gaopeng Capital
668,China Reform Fund,Jinhui Xingye
669,Silicon Valley Bank,European Founders Fund
670,CDH Investments,Goldstone Investments
671,CDH Investments,China Broadband Capital
672,OMERS Ventures,Salesforce Ventures
673,WRVI Capital,S-Cubed Capital
674,Mayfair Equity Partners,Mitsubishi Corporation
675,Riverwood Capital,Level Equity
676,Eight Roads Ventures,Ignition Partners
677,FTV Capital,Endeavor
678,Cambridge Innovation Capital,LGT Capital Partners
679,Granite Ventures,83North
680,Granite Ventures,CommerzVentures
681,Jackson Square Ventures,Lightspeed Venture Partners
682,Jackson Square Ventures,Softbank Group
683,Jackson Square Ventures,General Atlantic
684,Didi Chuxing_,Diamler
685,Didi Chuxing_,TMT Investments
686,China Resources Holdings,Verlinvest
687,China Resources Holdings,Blackstone
688,Atomico,Accel
689,Atomico,Globis Capital Partners
690,Atomico,Obvious Ventures
691,Atomico,Y Combinator
692,Atomico,Japan Post Capital
693,Atomico,General Atlantic
694,Infore Capital,IDG Capital
695,Benhcmark,Addition
696,Benhcmark,Accel
697,Acequia Capital,L Catterton
698,Menlo Ventures,Spark Capital
699,Bertelsmann Asia Investments,GGV Capital
700,Bertelsmann Asia Investments,Loyal Valley Capital
701,Bertelsmann Asia Investments,Morningside Venture Capital
702,Sina Weibo,Softbank Group
703,Sina Weibo,SIG Asia Investments
704,Sina Weibo,Kleiner Perkins Caufield & Byers
705,DC Thomson Ventures,Boyu Capital
706,DC Thomson Ventures,Hopu Investment Management
707,CapitalG,Softbank Group
708,Mountain Nazca,DST Global
709,Advent International,RiverPark Ventures
710,Advent International,Upper90
711,Redalpine Venture Partners,Earlybird Venture Capital
712,Redalpine Venture Partners,Valar Ventures
713,TTV Capital,Relay Ventures
714,DST Global,Lightspeed Venture Partners
715,DST Global,Moore Strategic Ventures
716,DST Global,Battery Ventures
717,DST Global,Gaorong Capital
718,DST Global,Sequoia Capital
719,DST Global,Andreessen Horowitz
720,DST Global,index Ventures
721,DST Global,Microsoft ScaleUp
722,DST Global,Google Ventures
