,source,target
108,SAIF Partners India,SoftBank Group
109,Trustbridge Partners,IDG Capital
110,Smash Ventures,KKR
111,Smash Ventures,Tencent Holdings
112,Warmsun Holding,IDG Capital Partners
113,Infore Capital,IDG Capital
114,Infore Capital,Alibaba Group
115,Infore Capital,Star VC
116,Tiantu Capital,JD.com
117,Tiantu Capital,Morningside Ventures
118,Union Square Ventures,Menlo Ventures
119,Union Square Ventures,Ribbit Capital
120,Union Square Ventures,Spark Capital
121,Union Square Ventures,Mithril Capital Management
122,Union Square Ventures,Y Combinator
123,Union Square Ventures,Summerhill Venture Partners
124,Union Square Ventures,capitalG
125,Union Square Ventures,Altos Ventures
126,Union Square Ventures,DFJ Growth
127,Union Square Ventures,Costanoa Ventures
128,Union Square Ventures,VY Capital
129,Union Square Ventures,New Enterprise Associates
130,East Ventures,Expedia Inc.
131,Bain Capital Ventures,Kleiner Perkins Caufield & Byers
132,Bain Capital Ventures,Viola Ventures
133,Bain Capital Ventures,Bessemer Venture Partners
134,Bain Capital Ventures,Dell Technologies Capital
135,Bain Capital Ventures,Tribeca Venture Partners
136,Bain Capital Ventures,Highland Capital Partners
137,DAG Ventures,Benchmark Capital
138,DAG Ventures,Insight Venture Partners
139,Menlo Ventures,Spark Capital
140,Ford Motor Company,Amazon
141,Ford Motor Company,Cox Automotive
142,Prometheus Capital,Matrix Partners China
143,Prometheus Capital,JD Capital Management
144,M12,Trinity Ventures
145,M12,Mayfield Fund
146,Cambridge Innovation Capital,LGT Capital Partners
147,Cambridge Innovation Capital,Escala Capital
148,Advantech Capital,Tiantu Capital Co.
149,Advantech Capital,Temasek Holdings Ltd.
150,Propulsion Ventures,Fonds de Solidarite FTQ
151,Propulsion Ventures,BDC Venture Capital
152,Beijing Juneng Hesheng Industry Investment Fund,Beijing Shuju Xinrong Fund
153,Eastern Bell Capital,STO Express
154,Upper90,Advent International
155,Upper90,RiverPark Ventures
156,Qualcomm Ventures,WRVI Capital
157,Qualcomm Ventures,Qiming Venture Partners
158,Qualcomm Ventures,Draper Fisher Jurtson
159,Qualcomm Ventures,Alibaba Group
160,Qualcomm Ventures,Bessemer Venture Partners
161,Qualcomm Ventures,Kleiner Perkins Caufield & Byers
162,Qualcomm Ventures,Andreessen Horowitz
163,Qualcomm Ventures,China Internet Investment Fund
164,Qualcomm Ventures,SoftBank Group. Monashees+
165,Qualcomm Ventures,S-Cubed Capital
166,Qualcomm Ventures,Obvious Ventures
167,Temasek Holdings,Khosla Ventures
168,Temasek Holdings,Visa
169,Temasek Holdings,QiMing Venture Partners
170,Temasek Holdings,SoftBank Group
171,Temasek Holdings,TPG Growth
172,Temasek Holdings,Andreessen Horowitz
173,Temasek Holdings,Ceyuan Ventures
174,Temasek Holdings,March Capital Partners
175,Temasek Holdings,Charlotte Angel Partners
176,Temasek Holdings,Silverlink Capital
177,Temasek Holdings,DST Global
178,BOLDstart Ventures,Google Ventures
179,BOLDstart Ventures,Accel
180,Times Internet,Nexus Venture Partners
181,Times Internet,SoftBank Group
182,Redalpine Venture Partners,Earlybird Venture Capital
183,Redalpine Venture Partners,Valar Ventures
184,Amazon,Cox Automotive
185,Global Bridge Capital,New Enterprise Associates
186,K2 Ventures,ZhenFund
187,K2 Ventures,Matrix Partners China
188,K2 Ventures,IDG Capital
189,LowercaseCapital,Khosla Ventures
190,LowercaseCapital,capitalG
191,Jinhui Xingye,Gaopeng Capital
192,Jinhui Xingye,China Reform Fund
193,SBI Investment Korea,Partners Investment
194,SBI Investment Korea,GIC
195,GGV Capital,ZhenFund
196,GGV Capital,Xiang He Capital
197,GGV Capital,Teamworthy Ventures
198,GGV Capital,Bertelsmann Asia Investments
199,GGV Capital,Linear Venture
200,GGV Capital,IDG Capital
201,GGV Capital,Koch Disruptive Technologies
202,GGV Capital,T. Rowe Price
203,GGV Capital,QiMing Venture Partnersl
204,GGV Capital,Ant Financial Services Group
205,GGV Capital,Softbank Group
206,GGV Capital,Andreessen Horowitz
207,GGV Capital,Tencent
208,GGV Capital,Founders Fund
209,GGV Capital,Digital Sky Technologies
210,GGV Capital,Vertex Venture Holdings
211,Webb Investment Network,Orient Hontai Capital
212,Webb Investment Network,D1 Capital Partners
213,Webb Investment Network,Upfront Ventures
214,Holtzbrinck Ventures,General Atlantic
215,Holtzbrinck Ventures,Unternehmertum Venture Capital
216,Technology Crossover Ventures,Greylock Partners
217,Technology Crossover Ventures,A&E Television Networks
218,Technology Crossover Ventures,North Bridge Venture Partners
219,Unbound,DST Global
220,Unbound,Moore Strategic Ventures
221,Baidu Capital,Linear Venture
222,Baidu Capital,Tencent
223,Russia-China Investment Fund,Ant Financial Services Group
224,Russia-China Investment Fund,Foxconn Technology Company
225,Aviv Venture Capital,Intel Capital
226,GE Healthcare,Koch Disruptive Technologies
227,GE Healthcare,York Capital Management
228,Craft Ventures,Tusk Ventures
229,Craft Ventures,Sequoia Capital
230,Charlotte Angel Partners,TPG Growth
231,Venrock,Goldman Sachs
232,Venrock,Greylock Partners
233,Venrock,Institutional Venture Partners
234,Venrock,Providence Ventures
235,Venrock,Andreessen Horowitz
236,Venrock,SV Angel
237,Venrock,F-Prime Capital
238,Founders Fund,Bedrock Capital
239,Founders Fund,Khosla Ventures
240,Founders Fund,Bloomberg Beta
241,Founders Fund,Goldman Sachs
242,Founders Fund,Revolution Ventures
243,Founders Fund,Rothenberg Ventures
244,Founders Fund,Thrive Capital
245,Founders Fund,Quantum Energy Partners
246,Founders Fund,Draper Fisher Jurvetson
247,Founders Fund,Andreessen Horowitz
248,Founders Fund,Wellington Management
249,Founders Fund,Digital Sky Technologies
250,Founders Fund,SoftBankGroup
251,Walden Venture Capital,Global Catalyst Partnera
252,Walden Venture Capital,Tencent Holdings
253,True,Causeway Media Partners
254,True,Novator Partners
255,Lerer Hippeau Ventures,T. Rowe Price
256,Lerer Hippeau Ventures,Tiger Global Management
257,Altitude Life Science Ventures,Foresite Capital
258,Altitude Life Science Ventures,ARCH Venture Partners
259,Endeavor,FTV Capital
260,JD.com,Vision Plus Capital
261,JD.com,Morningside Ventures
262,JD.com,Baidu
263,Emtek Group,500 Startups
264,Emtek Group,Batavia Incubator
265,Hillhouse Capital Management,China Reform Fund
266,Hillhouse Capital Management,Linear Venture
267,Hillhouse Capital Management,Shenzhen Capital Group
268,Sherpalo Ventures,Softbank Corp.
269,Sherpalo Ventures,Kleiner Perkins Caufield & Byers
270,Access Industries,IA Ventures
271,Access Industries,Clal Industries and Investments
272,Access Industries,Andreessen Horowitz
273,Access Industries,Vostok New Ventures
274,Access Industries,Orange Digital Ventures
275,Atomico,Freigeist Capital
276,Atomico,Accel
277,Atomico,SoftBank Group
278,Atomico,Y Combinator
279,Atomico,Japan Post Capital
280,Atomico,General Atlantic
281,Atomico,Obvious Ventures
282,Atomico,Globis Capital Partners
283,Far East Horizon,Yaxia Automobile
284,Far East Horizon,Qiming Venture Partners
285,NXC,IMM Investment
286,Genesis Partners,Insight Partners
287,Genesis Partners,Opus Capital
288,Genesis Partners,Entree Capital
289,Genesis Partners,Qumra Capital
290,Genesis Partners,Battery Ventures
291,New Horizon Capital,IDG Capital Partners
292,New Horizon Capital,Banyan Capital
293,TAL Education Group,Legend Star
294,TAL Education Group,Alibaba Group
295,8VC,Greylock Partners
296,8VC,Data Collective
297,8VC,Lightspeed Venture Partners
298,Formation8,BoxGroup
299,Formation8,Khosla Ventures
300,Coatue Management,Sequoia Capital
301,Coatue Management,Y Combinator
302,Coatue Management,IDG Capital
303,Vostok New Ventures,Kinnevik
304,Vostok New Ventures,Public Investment Fund of Saudi Arabia
305,Greenoaks Capital Management,Softbank Group
306,Greenoaks Capital Management,DST Global
307,Greenoaks Capital Management,Jackson Square Ventures
308,Greenoaks Capital Management,Ribbit Capital
309,Qumra Capital,Pitango Venture Capital
310,Qumra Capital,Magma Venture Partners
311,Qumra Capital,Entree Capital
312,Ceyuan Ventures,QiMing Venture Partners
313,Bloomberg Beta,Newmark Knight Frank
314,Bloomberg Beta,Norwest Venture Partners
315,China Fortune Ocean,China Environmental Protection Industry
316,Launchpad Venture Group,ICONIQ Capital
317,Launchpad Venture Group,Insight Venture Partners
318,Earlybird Venture Capital,Valar Ventures
319,Target Global,Durable Capital Partners
320,Target Global,General Catalyst
321,DT Capital Partners,Boxin Capital
322,DT Capital Partners,IDG Capital
323,Hongxiu VC,BOC International
324,Hongxiu VC,TopoScend Capital
325,SV Angel,IA Ventures
326,SV Angel,Norwest Venture Partners
327,SV Angel,Institutional Venture Partners
328,SV Angel,Section 32
329,SV Angel,RRE Ventures
330,SV Angel,Ventures
331,SV Angel,New Enterprise Associates
332,SV Angel,Index
333,Zhongrong International Trust,People Electrical Appliance Group China
334,China Resources Holdings,Verlinvest
335,China Resources Holdings,Blackstone
336,Playground Global,Tribe Capital
337,Playground Global,Bond
338,Lindeman Asia Investment,Nichi-Iko Pharmaceutical
339,BDC Venture Capital,Fonds de Solidarite FTQ
340,Acequia Capital,L Catterton
341,Acequia Capital,General Catalyst
342,JD Capital Management,Matrix Partners China
343,Intel Capital,Walden International
344,Intel Capital,Alibaba Group
345,Intel Capital,Sapphire Ventures
346,Intel Capital,Zhangjiang Haocheng Venture Capital
347,Intel Capital,Azure Capital Partners
348,Intel Capital,Battery Ventures
349,Benhcmark,Accel
350,Benhcmark,Addition
351,AME Cloud Ventures,Softbank Group
352,AME Cloud Ventures,SignalFire
353,BlueCross BlueShield Venture Partners,US Venture Partners
354,Google Ventures,Khosla Ventures
355,Google Ventures,August Capital
356,Google Ventures,Tiger Global Management
357,Google Ventures,Kleiner Perkins Caufield & Byers
358,Google Ventures,Andreessen Horowitz
359,Google Ventures,New Enterprise Associates
360,Google Ventures,Summit Partners
361,Google Ventures,Battery Ventures
362,Google Ventures,Baillie Gifford & Co.
363,Google Ventures,Kleiner Perkins Caulfield & Byers
364,Google Ventures,Blackrock
365,Google Ventures,General Catalyst Partners
366,Google Ventures,Bessemer Venture Partners
367,Google Ventures,ICONIQ Capital
368,Google Ventures,Wakefield Group
369,Google Ventures,Sequoia Capital
370,Google Ventures,InCube Ventures
371,Google Ventures,DST Global
372,Google Ventures,VentureHealth
373,Google Ventures,Index Ventures
374,Google Ventures,Shasta Ventures
375,Google Ventures,MPM Capital
376,Google Ventures,Accel
377,Google Ventures,Section 32
378,Google Ventures,Scale Venture Partners
379,Deerfield Management,Blackrock
380,Deerfield Management,Connecticut Innovations
381,Dragoneer Investment Group,T. Rowe Price
382,Dragoneer Investment Group,BlackRock
383,Morningside Group,Tencent
384,Two Sigma Ventures,Promus Ventures
385,Two Sigma Ventures,NextView Ventures
386,Silver Lake Partners,General Atlantic
387,Qiming Venture Partners,Capital Today
388,Qiming Venture Partners,China Broadband Capital
389,Qiming Venture Partners,CDH Investments
390,Qiming Venture Partners,Goldstone Investments
391,Qiming Venture Partners,Yaxia Automobile
392,Qiming Venture Partners,China Internet Investment Fund
393,Qiming Venture Partners,Tencent Holdings
394,Qiming Venture Partners,General Atlantic
395,Qiming Venture Partners,Sinovation Ventures
396,Costanoa Ventures,Altos Ventures
397,Shenzhen Capital Group,Bright Venture Capita
398,Shenzhen Capital Group,Matrix Partners China
399,Promus Ventures,NextView Ventures
400,Forerunner Ventures,Khosla Ventures
401,Forerunner Ventures,Crosslink Capital
402,Forerunner Ventures,Institutional Venture Partners
403,Forerunner Ventures,Thrive Capital
404,Forerunner Ventures,Sequoia Capital
405,Forerunner Ventures,Homebrew
406,Digital Currency Group,Accel
407,Digital Currency Group,General Catalyst
408,TA Associates,GS Growth
409,TA Associates,SoftBank Group
410,Global Catalyst Partnera,Tencent Holdings
411,Pear,Cowboy Ventures
412,Pear,New Enterprise Associates
413,V FUND,Green Pine Capital Partners
414,V FUND,IDG Capital
415,Oriza Holdings,Guangdong Technology Financial Group
416,Relay Ventures,TTV Capital
417,Relay Ventures,Canapi Ventures
418,NewView Capital,Ridge Ventures
419,NewView Capital,Maveron
420,Partners Investment,GIC
421,Summerhill Venture Partners,Mithril Capital Management
422,Public Investment Fund of Saudi Arabia,Kinnevik
423,CRV,Insight Partners
424,CRV,Index Ventures
425,CRV,Caffeinated Capital
426,CRV,SoftBank Group
427,CRV,Spark Capital
428,CRV,Thrive Capital
429,CRV,Nexus Venture Partners
430,CRV,Founder Collective
431,Eurazeo,One Luxury Group
432,China Reform Fund,Gaopeng Capital
433,Jackson Square Ventures,Softbank Group
434,Jackson Square Ventures,Lightspeed Venture Partners
435,Jackson Square Ventures,General Atlantic
436,Fidelity Investments,Revolution
437,Fidelity Investments,Red Sea Ventures
438,Francisco Partners,Neuberger Berman
439,Francisco Partners,K1 Capital
440,Essence Financial,Jiangsu Sha Steel Group
441,Chengwei Capital,Redpoint Ventures
442,Chengwei Capital,QiMing Venture Partners
443,01 Advisors,Zeev Ventures
444,01 Advisors,Group 11
445,Temasek Holdings Ltd.,Tiantu Capital Co.
446,Lockheed Martin,Khosla Ventures
447,Lockheed Martin,Bessemer Venture Partners
448,BMW i Ventures,CreditEase Fintech Investment Fund
449,BMW i Ventures,SoftBank Group
450,Elephant Venture Capital,KKR
451,Elephant Venture Capital,Ten Eleven Ventures
452,IDInvest Partners,Seaya Ventures
453,IDInvest Partners,Lakestar
454,Pine Brook,Kleiner Perkins Caufield & Byers
455,Pine Brook,American Express Ventures
456,Koch Disruptive Technologies,York Capital Management
457,Koch Disruptive Technologies,Teamworthy Ventures
458,Genral Atlantic,Addition
459,Foresite Capital,ARCH Venture Partners
460,Boyu Capital,Borui Capital
461,Boyu Capital,Hopu Investment Management
462,Boyu Capital,DC Thomson Ventures
463,Boyu Capital,Alibaba Group
464,Singapore Wealth Fund,Andreessen Horowitz
465,Singapore Wealth Fund,Khosla Ventures
466,Unilever Ventures,BGF Ventures
467,Unilever Ventures,MMC Ventures
468,Founder Collective,Wellington Management
469,Founder Collective,Caffeinated Capital
470,Founder Collective,Sequoia Capital
471,Piton Capital,Digital Sky Technologies
472,Piton Capital,DN Capital
473,Piton Capital,SoftBank Group
474,Blue Lake Capital,ZhenFund
475,Blue Lake Capital,Tiger Global Management
476,IKEA GreenTech,Vickers Venture Partners
477,Formation 8,General Catalyst Partners
478,Formation 8,Data Collective
479,58.com,Tencent Holdings
480,58.com,Matrix Partners China
481,Naspers,Just Eat
482,Naspers,Movile
483,and Sequoia Capital China,China Renaissance
484,and Sequoia Capital China,China Health Industry Investment Fund
485,Aglae Ventures,Alven Capital
486,Institutional Venture Partners,Breyer Capital
487,Institutional Venture Partners,Accel
488,Institutional Venture Partners,Goldman Sachs
489,Institutional Venture Partners,Foundation Capital
490,Institutional Venture Partners,Baseline Ventures
491,Institutional Venture Partners,Thrive Capital
492,Institutional Venture Partners,General Catalyst
493,Institutional Venture Partners,DCM Ventures
494,Institutional Venture Partners,General Atlantic
495,Institutional Venture Partners,Sequoia Capital
496,Institutional Venture Partners,Battery Ventures
497,Institutional Venture Partners,Benchmark
498,Institutional Venture Partners,Northzone Ventures
499,Section 32,Andreessen Horowitz
500,Section 32,Norwest Venture Partners
501,Y Combinator,Index Ventures
502,Y Combinator,Accel
503,Y Combinator,Matrix Partners India
504,Y Combinator,MassVentures
505,Y Combinator,T. Rowe Price
506,Y Combinator,Greylock Partners
507,Y Combinator,Matrix Partners
508,Y Combinator,Tiger Global Management
509,Y Combinator,Kleiner Perkins Caufield & Byers
510,Y Combinator,capitalG
511,Y Combinator,DFJ Growth
512,Y Combinator,Data Collective
513,Y Combinator,Initialized Capital
514,Y Combinator,Sequoia Capital
515,Y Combinator,Benchmark
516,Foxconn Technology Company,Khosla Ventures
517,Foxconn Technology Company,Ant Financial Services Group
518,Foxconn Technology Company,Moore Capital Management
519,FinSight Ventures,Standard Chartered
520,FinSight Ventures,Affirma Capital
521,Zeev Ventures,Ribbit Capital
522,Zeev Ventures,Group 11
523,Zeev Ventures,Andreessen Horowitz
524,Zeev Ventures,TLV Partners
525,Zeev Ventures,Lightspeed Venture Partners
526,Airbus Ventures,Advent International
527,Airbus Ventures,Index Ventures
528,Promecap,Leonardo DiCaprio
529,Promecap,Goldman Sachs
530,Northern Light Venture Capital,DCM Ventures
531,Northern Light Venture Capital,IDG Capital
532,Khosla Ventures,Kleiner Perkins Caufield & Byers
533,Khosla Ventures,Andreessen Horowitz
534,Khosla Ventures,Collaborative Fund
535,Khosla Ventures,Bessemer Venture Partners
536,Khosla Ventures,ICONIQ Capital
537,Khosla Ventures,Sequoia Capital
538,Khosla Ventures,Greylock Partners
539,Khosla Ventures,Moore Capital Management
540,Khosla Ventures,Lightspeed Venture Partners
541,Khosla Ventures,BoxGroup
542,Khosla Ventures,Goldman Sachs
543,Khosla Ventures,Geodesic Capital
544,Khosla Ventures,capitalG
545,Khosla Ventures,Softbank Group
546,Shunwei Capital Partners,5Y Capital
547,Shunwei Capital Partners,Xiang He Capital
548,Shunwei Capital Partners,China Media Group
549,Shunwei Capital Partners,Tiger Global Management
550,Shunwei Capital Partners,Warburg Pincus
551,Shunwei Capital Partners,QingSong Fund
552,Shunwei Capital Partners,Legend Capital
553,Shunwei Capital Partners,Guangzhou Huiyin Aofeng Equity Investment Fund
554,Shunwei Capital Partners,MindWorks Ventures
555,Structure Capital,Greylock Partners
556,Structure Capital,Spark Capital
557,MassVentures,Data Collective
558,Cybernaut Growth Fund,IDG Capital
559,Tiger Global Management,ZhenFund
560,Tiger Global Management,SoftBank Group
561,Tiger Global Management,T. Rowe Price
562,Tiger Global Management,Data Collective
563,Tiger Global Management,Softbank Corp.
564,Tiger Global Management,Matrix Partners India
565,Tiger Global Management,FirstMark Capital
566,Tiger Global Management,Bessemer Venture Partners
567,Tiger Global Management,ICONIQ Capital
568,Tiger Global Management,Global Asset Capital
569,Tiger Global Management,KKR
570,Tiger Global Management,Accel
571,Tiger Global Management,Ardian
572,Tiger Global Management,Matrix Partners
573,Tiger Global Management,capitalG
574,Tiger Global Management,Tao Capital Partners
575,Tiger Global Management,Granite Hill Capital Partners
576,Earlybrid Venture Capital,Accel
577,Earlybrid Venture Capital,Seedcamp
578,Earlybrid Venture Capital,capitalG
579,Pitango Venture Capital,83North
580,Pitango Venture Capital,Foundry Group
581,Pitango Venture Capital,RiverPark Ventures
582,Pitango Venture Capital,Magma Venture Partners
583,Pitango Venture Capital,Dell Technologies Capital
584,Pitango Venture Capital,Amadeus Capital Partners
585,Tianjin Haihe Industry Fund,Phoenix New Media
586,Orange Digital Ventures,Passion Capital
587,Orange Digital Ventures,Thrive Capital
588,Legend Star,Alibaba Group
589,Durable Capital Partners,General Catalyst
590,Wanxin Media,Baidu
591,Wanxin Media,China Minsheng Investment
592,Alibaba Group,Sapphire Ventures
593,Alibaba Group,Helion Venture Partners
594,Alibaba Group,Ping An Insurance
595,Alibaba Group,Blackrock
596,Alibaba Group,Draper Fisher Jurtson
597,Alibaba Group,Bessemer Venture Partners
598,Alibaba Group,Yinxinggu Capital
599,Alibaba Group,Sequoia Capital India
600,Alibaba Group,Borui Capital
601,Alibaba Group,Star VC
602,Alibaba Group,SoftBankGroup
603,Alibaba Group,Telling Telecommunication Holding Co.
604,Alibaba Group,KKR
605,Alibaba Group,Goldman Sachs
606,Alibaba Group,China Everbright Investment Management
607,Alibaba Group,IDG Capital
608,Thrive Capital,Index Ventures
609,Thrive Capital,Passion Capital
610,Thrive Capital,Wellington Management
611,Vision Plus Capital,Baidu
612,Moore Strategic Ventures,DST Global
613,Warbug Pincus,Tencent Holdings
614,Warbug Pincus,IDG Capital
615,Illumina,Invesco Perpetual
616,Illumina,IP Group
617,KCK Group,EXOR Seeds
618,KCK Group,OLX Group
619,Steadview Capital,Tencent Holdings
620,Steadview Capital,Kaalari Capital
621,Xingwang Investment Management,China Creation Ventures
622,Xingwang Investment Management,Sierra Ventures
623,Trinity Ventures,Fifth Wall Ventures
624,Trinity Ventures,Bessemer Venture Partners
625,Trinity Ventures,Mayfield Fund
626,Trinity Ventures,K9 Ventures
627,Iconiq Capital,O'Connor Ventures
628,Iconiq Capital,Bessemer Venture Partners
629,RRE Ventures,New Enterprise Associates
630,RRE Ventures,August Capital
631,RRE Ventures,Tiger Global
632,New Leaf Venture Partners,Charter Venture Capital
633,New Leaf Venture Partners,New Enterprise Associates
634,Invesco Perpetual,IP Group
635,Revolution Growth,Greycroft
636,Revolution Growth,Sands Capital
637,Artiman Ventures,Anthos Capital
638,Artiman Ventures,Plug and Play Ventures
639,R-Z Capital,Green Pine Capital Partners
640,R-Z Capital,SAIF Partners China
641,IA Ventures,Accomplice
642,IA Ventures,Andreessen Horowitz
643,IA Ventures,Ventures
644,IA Ventures,New Enterprise Associates
645,IA Ventures,Index
646,Kite Ventures,Notion Capital
647,Ardian,KKR
648,SAIF Partners,Accel India
649,SAIF Partners,Norwest Venture Partners
650,TowerBrook Capital Partners,KKR
651,Globis Capital Partners,Japan Post Capital
652,China Creation Ventures,Sierra Ventures
653,Volkswagen Group,Goldman Sachs
654,Volkswagen Group,Vattenfall
655,Volkswagen Group,Ford Autonomous Vehicles
656,SoftBank Group,Andreessen Horowitz
657,SoftBank Group,Data Collective
658,SoftBank Group,Wing Venture Capital
659,SoftBank Group,GS Growth
660,SoftBank Group,Matrix Partners India
661,SoftBank Group,DN Capital
662,SoftBank Group,Sequoia Capital
663,SoftBank Group,Gaorong Capital
664,SoftBank Group,DST Global
665,SoftBank Group,Kaszek Ventures
666,SoftBank Group,Greylock Partners
667,SoftBank Group,Spark Capital
668,SoftBank Group,Sequoia Capital India
669,SoftBank Group,CreditEase Fintech Investment Fund
670,SoftBank Group,Accel Partners
671,SoftBank Group,True Ventures
672,SoftBank Group,Nexus Venture Partners
673,SoftBank Group,General Atlantic
674,SoftBank Group,Lightspeed India Partners
675,SoftBank Group,Digital Sky Technologies
676,Foxconn,Tiger Global management
677,Foxconn,Tencent
678,SingTel Innov8,Greylock Partners
679,SingTel Innov8,Aspect Ventures
680,Data Collective,General Catalyst Partners
681,Data Collective,True Ventures
682,Data Collective,Granite Hill Capital Partners
683,Data Collective,Lightspeed Venture Partners
684,Sunstone Capital,Spark Capital
685,Zheshang Venture Capital,GP Capital
686,Zheshang Venture Capital,Western Capital Management
687,Helion Venture Partners,Bessemer Venture Partners
688,Composite Capital Partners,Zhiping Capital
689,Composite Capital Partners,Sina Weibo Fund
690,Obvious Ventures,Andreessen Horowitz
691,Obvious Ventures,Freigeist Capital
692,Breyer Capital,Makena Capital Management
693,Breyer Capital,TPG Growth
694,Breyer Capital,General Catalyst
695,Maveron,Ridge Ventures
696,General Catalyst Partners,Kleiner Perkins Caufield & Byers
697,General Catalyst Partners,Andreessen Horowitz
698,DN Capital,Trilogy Equity Partners
699,DN Capital,Threshold Ventures
700,DN Capital,Digital Sky Technologies
701,Songhyun Investment,Bain Capital
702,Songhyun Investment,Altos Ventures
703,InCube Ventures,VentureHealth
704,MindWorks Ventures,Xiang He Capital
705,Amadeus Capital Partners,Dell Technologies Capital
706,Tus Holdings,Tencent Holdings
707,Tus Holdings,FAW Group
708,Core Capital Partners,Contour Venture Partners
709,Core Capital Partners,Battery Ventures
710,FinLab,e.ventures
711,FinLab,Greycroft
712,RiverPark Ventures,Advent International
713,RiverPark Ventures,83North
714,Redpoint e.ventures,Andreessen Horowitz
715,Redpoint e.ventures,DST Global
716,Redpoint e.ventures,Kaszek Ventures
717,Redpoint e.ventures,Sequoia Capital
