Company,Valuation($B),Date Joined,Country,Industry,Select Investors
Auto1 Group,$3.54 ,7/6/2015,Germany,E-commerce & direct-to-consumer,"Digital Sky Technologies, Piton Capital, DN Capital, SoftBank Group"
Automation Anywhere,$6.80 ,7/2/2018,United States,Artificial intelligence,"General Atlantic, Goldman Sachs, New Enterprise Associates"
Automattic,$3 ,5/27/2013,United States,Internet software & services,"Insight Venture Partners, Lowercase Capital, Polaris Partners"
Avant,$1.90 ,9/30/2015,United States,Artificial intelligence,"RRE Ventures, Tiger Global, August Capital"
AvidXchange,$1.24 ,6/8/2017,United States,Fintech,"Temasek Holdings, Charlotte Angel Partners, TPG Growth"
Away,$1.40 ,5/15/2019,United States,E-commerce & direct-to-consumer,"Global Founders Capital, Comcast Ventures, Forerunner Ventures"
Babylon Health,$2 ,8/2/2019,United Kingdom,Artificial intelligence,"Kinnevik, Vostok New Ventures, Public Investment Fund of Saudi Arabia"
Banma Network Technologies,$1 ,9/13/2018,China,Auto & transportation,"Yunfeng Capital, SDIC Innovation Investment Management, Shang Qi Capital"
BeiBei,$1 ,1/22/2015,China,E-commerce & direct-to-consumer,"Banyan Capital, New Horizon Capital, IDG Capital Partners"
BenevolentAI,$1 ,6/2/2015,United Kingdom,Artificial intelligence,Woodford Investment Management
Better.com,$4 ,11/10/2020,United States,Fintech,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers"
BGL Group,$3 ,11/24/2017,United Kingdom,Fintech,CPP Investment Board
BigBasket,$1 ,5/6/2019,India,"Supply chain, logistics, & delivery","Alibaba Group, Bessemer Venture Partners, Helion Venture Partners"
BillDesk,$1.90 ,11/16/2018,India,Fintech,"Temasek Holdings, Visa, March Capital Partners"
Bird Rides,$2.78 ,5/30/2018,United States,Auto & transportation,"Tusk Ventures, Craft Ventures, Sequoia Capital"
Biren Techonology,$1.09 ,8/18/2020,China,Hardware,"V FUND, IDG Capital, Green Pine Capital Partners"
BitFury,$1 ,11/6/2018,Netherlands,Hardware,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital"
Bitmain Technologies,$12 ,7/6/2018,China,Hardware,"Coatue Management, Sequoia Capital China, IDG Capital"
BlaBlaCar,$1.67 ,9/16/2015,France,Auto & transportation,"Accel Partners, Index Ventures, Insight Venture Partners"
Blend,$1.70 ,6/24/2019,United States,Fintech,"Lightspeed Venture Partners, 8VC, Greylock Partners"
Bolt,$1.90 ,5/29/2018,Estonia,Auto & transportation,"Didi Chuxing, Diamler, TMT Investments"
Branch,$1 ,9/10/2018,United States,Mobile & telecommunications,"New Enterprise Associates, Pear, Cowboy Ventures"
BrewDog,$1.25 ,4/10/2017,United Kingdom,Consumer & retail,"TSG Consumer Partners, Crowdcube"
Brex,$3 ,10/5/2018,United States,Fintech,"DST Global, Ribbit Capital, Greenoaks Capital Management"
Bright Health,$1 ,12/17/2019,United States,Health,"New Enterprise Associates, Bessemer Venture Partners, Flare Capital Partners"
Bukalapak,$3.50 ,11/16/2017,Indonesia,E-commerce & direct-to-consumer,"500 Startups, Batavia Incubator, Emtek Group"
Buzzfeed,$1.70 ,8/18/2015,United States,Internet software & services,"SV Angel, RRE Ventures, New Enterprise Associates"
BYJU's,$12 ,7/25/2017,India,Edtech,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
Bytedance,$140 ,4/7/2017,China,Artificial intelligence,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
BYTON,$2.50 ,4/20/2018,China,Auto & transportation,"FAW Group, Tencent Holdings, Tus Holdings"
C2FO,$1 ,8/7/2019,United States,Fintech,"Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management"
C3.ai,$3.30 ,3/2/2017,United States,Artificial intelligence,"Makena Capital Management, TPG Growth, Breyer Capital"
Cabify,$1.40 ,1/22/2018,Spain,Auto & transportation,"Seaya Ventures, Otter Rock Capital, Rakuten"
Calm,$1 ,2/6/2019,United States,Consumer & retail,"Insight Venture Partners, TPG Growth, Sound Ventures"
Cambridge Mobile Telematics,$1.50 ,12/19/2018,United States,Mobile & telecommunications,SoftBank Group
Canva,$6 ,1/8/2018,Australia,Internet software & services,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
CAOCAO,$1.54 ,1/17/2018,China,Auto & transportation,"People Electrical Appliance Group China, Zhongrong International Trust"
Carbon,$2.40 ,8/20/2015,United States,Hardware,"Google Ventures, Sequoia Capital, Wakefield Group"
Cars24,$1 ,11/24/2020,India,E-commerce & direct-to-consumer,"Moore Strategic Ventures, DST Global, Unbound"
Carta,$1.70 ,5/6/2019,United States,Fintech,"Menlo Ventures, Spark Capital, Union Square Ventures"
Cato Networks,$1 ,11/17/2020,Israel,Cybersecurity,"Aspect Ventures, SingTel Innov8, Greylock Partners"
Cazoo,$2.50 ,6/23/2020,United Kingdom,E-commerce & direct-to-consumer,"dmg ventures, General Catalyst, Octopus Ventures"
Cell C,$1 ,8/7/2017,South Africa,Mobile & telecommunications,"Blue Label Telecoms, Net1 UEPS Technologies"
Celonis,$2.50 ,6/26/2018,Germany,Data management & analytics,"Accel, 83North"
Cgtz,$2.41 ,2/21/2017,China,Fintech,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
Chainalysis,$1 ,11/23/2020,United States,Fintech,"Addition, Benhcmark, Accel"
Changingedu,$1.50 ,10/30/2017,China,Edtech,"Trustbridge Partners, IDG Capital, Sequoia Capital China"
Checkout.com,$5.50 ,5/2/2019,United Kingdom,Fintech,"Insight Partners, DST Global"
Checkr,$2.20 ,9/19/2019,United States,Internet software & services,"Y Combinator, Accel, T. Rowe Price"
Chehaoduo,$9 ,3/12/2016,China,E-commerce & direct-to-consumer,"Sequoia Capital China, GX Capital"
Chime,$14.50 ,3/5/2019,United States,Fintech,"Forerunner Ventures, Crosslink Capital, Homebrew"
China Cloud,$1 ,6/11/2018,China,Hardware,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management"
Circle Internet Financial,$3 ,5/15/2018,United States,Fintech,"General Catalyst, Digital Currency Group, Accel"
ClassPass,$1 ,1/8/2020,United States,Internet software & services,"General Catalyst, L Catterton, Acequia Capital"
Cloudwalk,$3.20 ,10/8/2018,China,Artificial intelligence,"Oriza Holdings, Guangdong Technology Financial Group"
CMR Surgical,$1 ,9/17/2019,United Kingdom,Health,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital"
Cohesity,$2.50 ,6/11/2018,United States,Data management & analytics,"SoftBank Group, Sequoia Capital, Wing Venture Capital"
Coinbase,$8 ,8/10/2017,United States,Fintech,"Y Combinator, Union Square Ventures, DFJ Growth"
Collibra,$2.36 ,1/29/2019,United States,Data management & analytics,"Index Ventures, Battery Ventures, ICONIQ Capital"
Compass,$6.40 ,8/31/2016,United States,E-commerce & direct-to-consumer,"Founders Fund, Thrive Capital, Wellington Management"
Confluent,$4.50 ,1/23/2019,United States,Data management & analytics,"Benchmark, Sequoia Capital, Index Ventures"
Convoy,$2.75 ,9/21/2018,United States,"Supply chain, logistics, & delivery","Greylock Partners, capitalG, Y Combinator"
Coocaa,$1.45 ,3/16/2018,China,Hardware,"Baidu, Tencent Holdings"
Coupang,$9 ,5/28/2014,South Korea,E-commerce & direct-to-consumer,"Sequoia Capital, Founder Collective, Wellington Management"
Course Hero,$1.10 ,2/12/2020,United States,Edtech,"NewView Capital, Maveron, Ridge Ventures"
Coursera,$2.50 ,4/25/2019,United States,Edtech,"New Enterprise Associates, Kleiner Perkins Caufield & Byers, GSV Capital, Learn Capital"
Coveo,$1.10 ,11/6/2019,Canada,Artificial intelligence,"Fonds de Solidarite FTQ, Propulsion Ventures, BDC Venture Capital"
Cybereason,$1.50 ,6/21/2017,United States,Cybersecurity,"SoftBank Group, CRV, Spark Capital"
Dadi Cinema,$3.24 ,5/11/2016,China,Other,Alibaba Pictures Group
Darktrace,$1.65 ,5/15/2018,United Kingdom,Artificial intelligence,"KKR, Ten Eleven Ventures, Summit Partners"
Databricks,$6.20 ,2/5/2019,United States,Data management & analytics,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
Dataiku,$1.40 ,12/4/2019,United States,Internet software & services,"Alven Capital, FirstMark Capital, capitalG"
Dataminr,$1.60 ,6/4/2018,United States,Artificial intelligence,"Venrock, Institutional Venture Partners, Goldman Sachs"
DataRobot,$2.70 ,7/29/2019,United States,Artificial intelligence,"New Enterprise Associates, Accomplice, IA Ventures"
Dave,$1 ,9/30/2019,United States,Fintech,"Section 32, SV Angel, Norwest Venture Partners"
Deezer,$1.40 ,8/2/2018,France,Internet software & services,"Orange Digital Ventures, Access Industries"
Delhivery,$1.50 ,2/27/2019,India,"Supply chain, logistics, & delivery","Times Internet, Nexus Venture Partners, SoftBank Group"
Deliveroo,$3.50 ,8/5/2016,United Kingdom,"Supply chain, logistics, & delivery","Accel Partners, General Catalyst, Index Ventures"
Deposit Solutions,$1.13 ,9/18/2019,Germany,Fintech,"e.ventures, Greycroft, FinLab"
Devoted Health,$1.80 ,10/16/2018,United States,Health,"Andreessen Horowitz, F-Prime Capital, Venrock"
Dialpad,$1.20 ,10/6/2020,United States,Internet software & services,"Andreessen Horowitz, Google Ventures, Section 32"
DianRong,$1 ,8/2/2017,China,E-commerce & direct-to-consumer,"Standard Chartered, FinSight Ventures, Affirma Capital"
Didi Chuxing,$62 ,3/31/2015,China,Auto & transportation,"Matrix Partners, Tiger Global Management, Softbank Corp.,"
DigitalOcean,$1.15 ,5/14/2020,United States,Internet software & services,"Andreessen Horowitz, Access Industries, IA Ventures"
Dingdong Maicai,$2 ,5/12/2020,China,E-commerce & direct-to-consumer,"Gaorong Capital, CMC Capital Partners, General Atlantic"
Discord,$3.50 ,4/20/2018,United States,Internet software & services,"Benchmark, Greylock Partners, Tencent Holdings"
DJI Innovations,$15 ,1/23/2015,China,Hardware,"Accel Partners, Sequoia Capital"
dLocal,$1.20 ,9/15/2020,Uruguay,Fintech,"Genral Atlantic, Addition"
Docker,$1.30 ,4/14/2015,United States,Internet software & services,"Greylock Partners, Lightspeed Venture Partners, Lowercase Capital"
Doctolib,$1.14 ,3/19/2019,France,Health,"BPI France, Kerala Ventures, Accel"
DoorDash,$16 ,3/1/2018,United States,"Supply chain, logistics, & delivery","Softbank Group, Sequoia Capital, Khosla Ventures"
Dream11,$2.50 ,4/9/2019,India,Internet software & services,"Kaalari Capital, Tencent Holdings, Steadview Capital"
Druva,$1 ,6/20/2019,United States,Data management & analytics,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital"
DT Dream,$1.49 ,6/8/2017,China,Data management & analytics,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital"
Duolingo,$2.40 ,12/4/2019,United States,Education,"capitalG, Union Square Ventures, New Enterprise Associates"
Dxy.cn,$1 ,4/10/2018,China,Health,"Tencent Holdings, DCM Ventures"
Easyhome,$5.78 ,2/12/2018,China,Consumer & retail,"Alibaba Group, Boyu Capital, Borui Capital"
EBANX,$1 ,10/16/2019,Brazil,Fintech,"FTV Capital, Endeavor"
eDaili,$1.90 ,2/1/2019,China,E-commerce & direct-to-consumer,"K2VC, Lightspeed China Partners, Sky9 Capital"
Eightfold.ai,$1 ,10/27/2020,United States,Internet software & services,"Foundation Capital, Institutional Venture Partners, General Catalyst"
Emerging Markets Property Group,$1 ,4/28/2020,United Arab Emirates,Other,"OLX Group, KCK Group, EXOR Seeds"
ENOVATE,$1.49 ,4/15/2019,China,Auto & transportation,Automobile Industry Guidance Fund
Epic Games,$17.30 ,10/26/2018,United States,Other,"Tencent Holdings, KKR, Smash Ventures"
ezCater,$1.25 ,4/2/2019,United States,"Supply chain, logistics, & delivery","Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group"
Fair,$1.20 ,12/20/2018,United States,Auto & transportation,"CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group"
Faire,$2.50 ,10/30/2019,United States,Artificial intelligence,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
Fanatics,$6.20 ,6/6/2012,United States,E-commerce & direct-to-consumer,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Farmers Business Network,$1.75 ,8/3/2020,United States,Other,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures"
Figma,$2 ,4/30/2020,United States,Internet software & services,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers"
Figure Technologies,$1.20 ,11/5/2019,United States,Fintech,"DCM Ventures, Ribbit Capital, RPM Ventures"
FirstCry,$1 ,2/7/2020,India,E-commerce & direct-to-consumer,"SoftBank Group, SAIF Partners India, Valiant Capital Partners"
FiveTran,$1.20 ,6/30/2020,United States,Data management & analytics,"Matrix Partners, Andreessen Horowitz, General Catalyst"
FlashEx,$1 ,8/27/2018,China,"Supply chain, logistics, & delivery","Prometheus Capital, Matrix Partners China, JD Capital Management"
Flexport,$3.20 ,4/30/2018,United States,"Supply chain, logistics, & delivery","Bloomberg Beta, Founders Fund, First Round Capital"
FlixBus,$2.25 ,7/18/2019,Germany,Auto & transportation,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic"
Flywire,$1 ,2/13/2020,United States,Fintech,"Spark Capital, F-Prime Capital, Kibo Ventures"
Formlabs,$1 ,8/1/2018,United States,Hardware,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
Forter,$1.30 ,11/19/2020,United States,Cybersecurity,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures"
Freshworks,$3.50 ,7/31/2018,United States,Internet software & services,"Accel, Tiger Global Management, capitalG"
FXiaoKe,$1 ,7/2/2015,China,Mobile & telecommunications,"IDG Capital, Northern Light Venture Capital, DCM Ventures"
GalaxySpace,$1.22 ,11/17/2020,China,Mobile & telecommunications,"Shunwei Capital Partners, 5Y Capital, Legend Capital"
Geek+,$1 ,11/21/2018,China,Hardware,"Volcanics Ventures, Vertex Ventures China, Warburg Pincus"
Gett,$1.50 ,5/24/2016,Israel,Auto & transportation,"Volkswagen, Access Industries, Vostok New Ventures"
GetYourGuide,$1.78 ,5/16/2019,Germany,Travel,"Spark Capital, Highland Europe, Sunstone Capital"
Ginkgo BioWorks,$4.20 ,12/14/2017,United States,Health,"Y Combinator, Data Collective, MassVentures"
GitLab,$2.75 ,9/19/2018,United States,Internet software & services,"Google Ventures, ICONIQ Capital, Khosla Ventures"
Global Switch,$11.08 ,12/22/2016,United Kingdom,Hardware,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
Globality,$1 ,1/22/2019,United States,Artificial intelligence,SoftBank Group
Glossier,$1.20 ,3/19/2019,United States,Consumer & retail,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital"
Glovo,$1 ,12/19/2019,Spain,"Supply chain, logistics, & delivery","IDInvest Partners, Seaya Ventures, Lakestar"
GOAT,$1.75 ,9/23/2020,United States,E-commerce & direct-to-consumer,"Upfront Ventures, Webb Investment Network, D1 Capital Partners"
Gojek,$10 ,8/4/2016,Indonesia,"Supply chain, logistics, & delivery","Formation Group, Sequoia Capital India, Warburg Pincus"
Gong,$2.20 ,8/12/2020,United States,Artificial intelligence,"Norwest Venture Partners, Next World Capital, Wing Venture Capital"
GoPuff,$3.90 ,10/8/2020,United States,E-commerce & direct-to-consumer,"Accel, Softbank Group, Anthos Capital"
Gousto,$1 ,11/3/2020,United Kingdom,"Supply chain, logistics, & delivery","MMC Ventures, BGF Ventures, Unilever Ventures"
GPclub,$1.32 ,10/22/2018,South Korea,Other,Goldman Sachs
Grab,$14.30 ,12/4/2014,Singapore,Auto & transportation,"GGV Capital, Vertex Venture Holdings, Softbank Group"
Grammarly,$1 ,10/10/2019,United States,Internet software & services,"General Catalyst, Institutional Venture Partners, Breyer Capital"
Graphcore,$1.95 ,12/18/2018,United Kingdom,Artificial intelligence,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners"
Greenlight,$1.20 ,9/24/2020,United States,Fintech,"Relay Ventures, TTV Capital, Canapi Ventures"
Greensill,$4 ,7/16/2018,United Kingdom,Fintech,"SoftBank Group, General Atlantic"
Grove Collaborative,$1 ,9/6/2019,United States,E-commerce & direct-to-consumer,"MHS Capital, NextView Ventures, Mayfield Fund"
Guild Education,$1 ,11/13/2019,United States,Internet software & services,"Redpoint Ventures, Harrison Metal, Bessemer Venture Partners"
Gusto,$3.80 ,12/18/2015,United States,Fintech,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
Gympass,$1 ,6/12/2019,United States,Internet software & services,"General Atlantic, SoftBank Group, Atomico"
Gymshark,$1.30 ,8/14/2020,United Kingdom,E-commerce & direct-to-consumer,General Atlantic
HashiCorp,$5.10 ,11/1/2018,United States,Internet software & services,"Redpoint Ventures, True Ventures, Mayfield Fund"
HeartFlow,$1.50 ,12/4/2017,United States,Health,"BlueCross BlueShield Venture Partners, US Venture Partners"
Hello TransTech,$5 ,6/1/2018,China,Auto & transportation,"Ant Financial Services Group, GGV Capital"
HighRadius,$1 ,1/7/2020,United States,Fintech,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital"
Hike,$1.40 ,8/16/2016,India,Mobile & telecommunications,"Foxconn, Tiger Global management, Tencent"
Hippo,$1.50 ,7/24/2019,United States,Fintech,"Propel Venture Partners, Horizons Ventures, Comcast Ventures"
Hive Box,$1.40 ,1/23/2018,China,"Supply chain, logistics, & delivery","Eastern Bell Capital, SF Holding Co, STO Express"
Hopin,$2.13 ,11/10/2020,United Kingdom,Internet software & services,"Accel, Northzone Ventures, Institutional Venture Partners"
Horizon Robotics,$3 ,2/27/2019,China,Artificial intelligence,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital"
Hosjoy,$1 ,10/18/2018,China,E-commerce & direct-to-consumer,"U.S.-China Green Fund, Founder H Fund, Richland Equities"
Houzz,$3.84 ,9/30/2014,United States,E-commerce & direct-to-consumer,"New Enterprise Associates, Sequoia Capital, Comcast Ventures"
Huaqin Telecom Technology,$2.19 ,10/8/2019,China,Mobile & telecommunications,"Zhangjiang Haocheng Venture Capital, Walden International, Intel Capital"
Huike Group,$1 ,5/24/2018,China,Edtech,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co."
HuiMin,$2.19 ,9/5/2016,China,E-commerce & direct-to-consumer,"Zheshang Venture Capital, GP Capital, Western Capital Management"
HuJiang,$1.10 ,10/29/2015,China,Edtech,"China Minsheng Investment, Baidu, Wanxin Media"
HyalRoute,$3.50 ,5/26/2020,Singapore,Mobile & telecommunications,Kuang-Chi
Ibotta,$1 ,8/6/2019,United States,Fintech,"Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital"
iCarbonX,$1 ,4/12/2016,China,Artificial intelligence,"Tencent, Vcanbio"
Icertis,$1 ,7/17/2019,United States,Artificial intelligence,"Eight Roads Ventures, Greycroft, Ignition Partners"
iFood,$1 ,11/13/2018,Brazil,"Supply chain, logistics, & delivery","Movile, Just Eat, Naspers"
Illumio,$1.18 ,4/14/2015,United States,Cybersecurity,"Data Collective, Formation 8, General Catalyst Partners"
Impossible Foods,$4 ,5/13/2019,United States,Consumer & retail,"Khosla Ventures, Horizons Ventures, Temasek Holdings"
Improbable,$2 ,5/11/2017,United Kingdom,Other,"Andreessen Horowitz, SoftBank Group, Temasek Holdings"
Indigo Ag,$3.50 ,9/26/2017,United States,Artificial intelligence,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co."
INFI,$1.25 ,5/1/2018,Israel,Artificial intelligence,Pacific Century Group
Infinidat,$1.60 ,4/29/2015,United States,Hardware,"TPG Growth, Goldman Sachs"
Infobip,$1 ,7/30/2020,Croatia,Mobile & telecommunications,One Equity Partners
InMobi,$1 ,9/15/2011,India,Mobile & telecommunications,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures"
Innovium,$1 ,7/21/2020,United States,Hardware,"WRVI Capital, Qualcomm Ventures, S-Cubed Capital"
InSightec,$1.30 ,3/6/2020,Israel,Health,"York Capital Management, GE Healthcare, Koch Disruptive Technologies"
Instabase,$1 ,10/21/2019,United States,Data management & analytics,"New Enterprise Associates, Greylock Partners, Andreessen Horowitz"
Instacart,$17.70 ,12/30/2014,United States,"Supply chain, logistics, & delivery","Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
Intarcia Therapeutics,$3.80 ,4/1/2014,United States,Health,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital"
Intellifusion,$1 ,3/22/2019,China,Artificial intelligence,"BOC International, TopoScend Capital, Hongxiu VC"
Intercom,$1.28 ,3/27/2018,United States,Internet software & services,"FirstMark Capital, Tiger Global Management"
InVision,$1.90 ,11/1/2017,United States,Internet software & services,"FirstMark Capital, Tiger Global Management, ICONIQ Capital"
ironSource,$1.50 ,8/11/2014,Israel,Mobile & telecommunications,"Access Industries, Clal Industries and Investments"
iTutorGroup,$1 ,11/18/2015,China,Edtech,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital"
Ivalua,$1 ,5/21/2019,United States,Fintech,"Ardian, Tiger Global Management, KKR"
Jiuxian,$1.05 ,7/30/2015,China,E-commerce & direct-to-consumer,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth"
JOLLY Information Technology,$1.50 ,5/29/2018,China,E-commerce & direct-to-consumer,"Legend Capital, CDH Investments, Sequoia Capital China"
Jusfoun Big Data,$1.60 ,7/9/2018,China,Data management & analytics,"Boxin Capital, DT Capital Partners, IDG Capital"
Just,$1.10 ,11/30/2017,United States,Consumer & retail,"Khosla Ventures, Horizons Ventures, Founders Fund"
JUUL Labs,$12 ,12/20/2017,United States,Consumer & retail,Tiger Global Management
Kaseya,$2 ,3/27/2019,United States,Cybersecurity,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund"
Katerra,$3 ,4/13/2017,United States,"Supply chain, logistics, & delivery","Foxconn Technology Company, Khosla Ventures, Moore Capital Management"
Kavak,$1.15 ,10/1/2020,Mexico,E-commerce & direct-to-consumer,"DST Global, SoftBank Group, Mountain Nazca"
Keep,$1 ,5/19/2020,China,Mobile & telecommunications,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital"
KeepTruckin,$1.20 ,4/23/2019,United States,"Supply chain, logistics, & delivery","Google Ventures, Index Ventures, Scale Venture Partners"
Kendra Scott,$1 ,12/21/2016,United States,Consumer & retail,"Berkshire Partners, Norwest Venture Partners"
KK Group,$1 ,10/23/2019,China,E-commerce & direct-to-consumer,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group"
KKW Beauty,$1 ,6/29/2020,United States,E-commerce & direct-to-consumer,Coty
Klarna,$10.65 ,12/12/2011,Sweden,Fintech,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
Klaviyo,$4.15 ,11/17/2020,United States,Internet software & services,"Summit Partners, Accel, Astral Capital"
Klook,$1.35 ,8/7/2018,Hong Kong,Travel,"Sequoia Capital China, Goldman Sachs, Matrix Partners China"
Knotel,$1.30 ,8/21/2019,United States,Other,"Bloomberg Beta, Newmark Knight Frank, Norwest Venture Partners"
KnowBe4,$1 ,6/12/2019,United States,Cybersecurity,"Elephant Venture Capital, KKR, Ten Eleven Ventures"
KnowBox,$1 ,5/30/2019,China,Edtech,"TAL Education Group, Legend Star, Alibaba Group"
Koudai,$1.45 ,10/23/2014,China,E-commerce & direct-to-consumer,"New Enterprise Associates, Tiger Global management, Tencent"
Krafton Game Union,$5 ,8/9/2018,South Korea,Other,"Tencent Holdings, Stonebridge Capital, IMM Investment"
