,Company,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,Valuation ($B) ,Date Added,Country,Category,Select Investors,Valuation($B) flaot,DateTime Joined
15,QuintoAndar,0.057057057057057055,0.0027768719794191237,0.019190333000641824,0.35780293843376915,0.0017660919287277757,$5.10 ,2019/9/9,Brazil,E-commerce & direct-to-consumer,"['Kaszek Ventures', ' General Atlantic', ' SoftBank Group']",5.1,2019-09-09
16,Flexport,0.018018018018018018,0.00022462518814422315,0.004139244281172635,0.30906155579985206,0.0007351286568802191,$3.20 ,2018/4/30,United States,"Supply chain, logistics, & delivery","['Bloomberg Beta', ' Founders Fund', ' First Round Capital']",3.2,2018-04-30
17,Iodine Software,0.016016016016016016,0.0014249185301963073,0.007170618600519625,0.3112111338541014,0.0008042459409721013,$1.00 ,2021/12/1,United States,Data management & analytics,"['Advent International', ' Bain Capital Ventures', ' Silversmith Capital Partners']",1.0,2021-12-01
18,Omio,0.035035035035035036,0.0024698538615508443,0.01004677229670343,0.3504849497016599,0.0013591546288555315,$1.00 ,2018/10/23,Germany,Travel,"['Lakestar', ' Battery Ventures', ' New Enterprise Associates']",1.0,2018-10-23
19,InSightec,0.001001001001001001,0.0,2.4553351149494722e-05,0.22579602310468583,0.00021285809628442107,$1.30 ,2020/3/6,Israel,Health,"['York Capital Management', ' GE Healthcare', ' Koch Disruptive Technologies']",1.3,2020-03-06
20,Nuro,0.04504504504504504,0.002251727903221166,0.017247266778066758,0.3611723831454773,0.001360831709688661,$8.60 ,2019/2/11,United States,Auto & transportation,"['SoftBank Group', ' Greylock Partners', ' Gaorong Capital']",8.6,2019-02-11
21,Luoji Siwei,0.07407407407407407,0.004449543496389747,0.011388937361130436,0.3465638616241026,0.0023281031778033382,$1.18 ,2017/7/20,China,Edtech,"['Sequoia Capital China', ' Qiming Venture Partners', ' Tencent Holdings']",1.18,2017-07-20
22,Momenta,0.06406406406406406,0.0009948777445992643,0.010846425510188357,0.33657100476991825,0.0019253284696453279,$1.00 ,2018/10/17,China,Artificial intelligence,"['Sinovation Ventures', ' Tencent Holdings', ' Sequoia Capital China']",1.0,2018-10-17
23,Motorway,0.03003003003003003,0.00012269499575356656,0.016966626665426292,0.34041184041184036,0.0009496578792184445,$1.33 ,2021/11/29,United Kingdom,E-commerce & direct-to-consumer,"['Marchmont Ventures', ' BMW i Ventures', ' Index Ventures']",1.33,2021-11-29
24,Matillion,0.022022022022022022,0.0016578845196358136,0.004861075224284766,0.3280710445679896,0.0009847283452272396,$1.50 ,2021/9/15,United Kingdom,Data management & analytics,"['Scale Venture Partners', ' Sapphire Ventures', ' Battery Ventures']",1.5,2021-09-15
25,Modernizing Medicine,0.01901901901901902,0.0019482073311366463,0.006764903191064571,0.3131471284659465,0.0009367181709035097,$1.00 ,2017/5/10,United States,Health,"['Warburg Pincus', ' Summit Partners', ' Sands Capital']",1.0,2017-05-10
26,MediaMath,0.006006006006006006,0.0,0.0008062497302148692,0.2759213478637939,0.00039475122554342496,$1.00 ,2018/7/10,United States,Internet software & services,"['Silicon Valley Bank', ' QED Investors', ' European Founders Fund']",1.0,2018-07-10
27,Koudai,0.02702702702702703,0.002443522840064915,0.00840832249300361,0.33713453931118226,0.001073282251716222,$1.40 ,2014/10/23,China,E-commerce & direct-to-consumer,"['New Enterprise Associates', ' Tiger Global management', ' Tencent']",1.4,2014-10-23
28,Illumio,0.006006006006006006,0.0005427578257411117,0.0005907968860147933,0.2799493967377179,0.000498128645248393,$2.75 ,2015/4/14,United States,Cybersecurity,"['Data Collective', ' Formation 8', ' General Catalyst Partners']",2.75,2015-04-14
29,Jobandtalent,0.036036036036036036,0.0006692796509938923,0.015145451655388687,0.3382672887082799,0.0011553493592701464,$2.35 ,2021/12/1,Spain,Internet software & services,"['Kibo Ventures', ' SoftBank Group', ' Atomico']",2.35,2021-12-01
30,Mobvoi,0.050050050050050046,0.001118896215363955,0.009202595579177648,0.325288535708568,0.0015834647431094647,$1.00 ,2017/4/6,China,Consumer & retail,"['Sequoia Capital China', ' SIG Asia Investments', ' ZhenFund']",1.0,2017-04-06
31,Ibotta,0.014014014014014014,0.001797388570935665,0.0015217984081148817,0.30154040225174633,0.0008299499840093851,$1.00 ,2019/8/6,United States,Fintech,"['Koch Disruptive Technologies', ' Teamworthy Ventures', ' GGV Capital']",1.0,2019-08-06
32,Phantom,0.04604604604604605,0.0014645818442260788,0.025544357540536057,0.3657649475088167,0.001390289797360144,$1.20 ,2022/1/31,United States,Fintech,"['Paradigm', ' Andreessen Horowitz', ' Jump Capital']",1.2,2022-01-31
33,VideoAmp,0.0,0.0,1.6061835351655795e-59,0.0,0.0001624255549540131,$1.40 ,2021/10/21,United States,Internet software & services,"['Simon Equity Partners', ' Wavemaker Partners', ' Anthem Venture Partners']",1.4,2021-10-21
34,Rappi,0.1011011011011011,0.010157771084683635,0.06250682774664615,0.40290866153797616,0.0027563240909353145,$5.25 ,2018/8/31,Colombia,"Supply chain, logistics, & delivery","['DST Global', ' Andreessen Horowitz', ' Sequoia Capital', ' Redpoint e.ventures']",5.25,2018-08-31
35,Argo AI,0.001001001001001001,0.0,4.034106344108091e-05,0.23150744881127175,0.00020717276884143975,$7.25 ,2019/7/12,United States,Artificial intelligence,"['Volkswagen Group', ' Ford Autonomous Vehicles']",7.25,2019-07-12
36,CoinSwitch Kuber,0.07207207207207207,0.0033426182870358373,0.05310046577273029,0.376186088002996,0.0020898667215984504,$1.90 ,2021/10/6,India,Fintech,"['Tiger Global Management', ' Sequoia Capital India', ' Ribbit Capital']",1.9,2021-10-06
37,BlockFi,0.005005005005005005,0.0,0.00010811929945087405,0.24230277208616557,0.0005351541791552502,$3.00 ,2021/3/11,United States,Fintech,"['ConsenSys Ventures', ' Valar Ventures', ' PUC']",3.0,2021-03-11
38,ABL Space Systems,0.005005005005005005,0.0006235814559217165,0.002097860519545302,0.2784011111007309,0.0004248579117632346,$2.40 ,2021/3/25,United States,Other,"['T. Rowe Price', ' Lockheed Martin Ventures', ' Fidelity Investment']",2.4,2021-03-25
39,KRY,0.08708708708708708,0.006867846995295783,0.11053523360168883,0.38027120605024284,0.0024039040629016775,$2.00 ,2021/4/27,Sweden,Health,"['Index Ventures', ' Creandum', ' Accel']",2.0,2021-04-27
40,Hesai Tech,0.012012012012012012,0.0010033713013410494,0.0009049308274488264,0.29405418562045066,0.0006637226833846403,$1.05 ,2020/8/1,China,Artificial intelligence,"['Lightspeed China Partners', ' Baidu Ventures', ' Qiming Venture Partners']",1.05,2020-08-01
41,Branch,0.02102102102102102,0.0003196971631556324,0.007383202175352561,0.3311736901375059,0.0007926198417164055,$1.00 ,2018/9/10,United States,Mobile & telecommunications,"['New Enterprise Associates', ' Pear', ' Cowboy Ventures']",1.0,2018-09-10
42,HAYDON,0.03303303303303303,0.0003929726933516204,0.004832923285925853,0.31375707612559967,0.0011509524418973247,$1.00 ,2021/9/24,China,Consumer & retail,"['Tencent Holdings', ' Hillhouse Capital Management']",1.0,2021-09-24
43,Icertis,0.015015015015015015,0.0011219117454897745,0.004464673129863349,0.3242409075742409,0.000755150135308727,$5.00 ,2019/7/17,United States,Artificial intelligence,"['Eight Roads Ventures', ' Greycroft', ' Ignition Partners']",5.0,2019-07-17
44,CircleCI,0.003003003003003003,0.0,0.0007960867292858435,0.2714575040156435,0.00027424563054792003,$1.70 ,2021/5/11,United States,Internet software & services,"['Threshold Ventures', ' Baseline Ventures', ' Harrison Metal']",1.7,2021-05-11
45,Miro,0.06406406406406406,0.0017891161293297612,0.09881609339383593,0.3614965953386061,0.0017164379757690484,$17.50 ,2022/1/5,United States,Internet software & services,"['Accel', ' AltaIR Capital', ' Technology Crossover Ventures']",17.5,2022-01-05
46,Hive Box,0.003003003003003003,0.0,1.575413433803442e-05,0.21726852290650508,0.00043122505459984616,$1.40 ,2018/1/23,China,"Supply chain, logistics, & delivery","['Eastern Bell Capital', ' SF Holding Co', ' STO Express']",1.4,2018-01-23
47,Dxy.cn,0.03403403403403403,0.0010430709062849248,0.006547447402098807,0.3290091562150385,0.0011673089837715817,$1.00 ,2018/4/10,China,Health,"['Tencent Holdings', ' DCM Ventures']",1.0,2018-04-10
48,Orbbec Technology,0.004004004004004004,6.224318099152706e-05,0.00011861765051278065,0.24164848917324167,0.00045104220915506856,$1.00 ,2018/5/21,China,Hardware,"['R-Z Capital', ' Green Pine Capital Partners', ' SAIF Partners China']",1.0,2018-05-21
49,Strava,0.04504504504504504,0.0003943480961553749,0.03671990490578437,0.3570099354673823,0.0012516684043841846,$1.50 ,2020/11/16,United States,Internet software & services,"['Jackson Square Ventures', ' Madrone Capital Partners', ' Sequoia Capital']",1.5,2020-11-16
50,DispatchHealth,0.001001001001001001,0.0,0.00021251415764288677,0.24835473771643984,0.00019215080831591055,$1.70 ,2021/3/3,United States,Health,"['Alta Partners', ' Questa Capital', ' Echo Health Venturesl']",1.7,2021-03-03
51,Scopely,0.012012012012012012,0.0020325123955025827,0.0046037964747131935,0.2990770198345393,0.0007433809795421176,$3.30 ,2019/10/29,United States,Mobile & telecommunications,"['Greycroft', ' Sands Capital', ' Revolution Growth']",3.3,2019-10-29
52,Trax,0.003003003003003003,0.0017973885709356655,0.00014805583684645313,0.24347473228972624,0.0005306762368660322,$1.30 ,2019/7/22,Singapore,Artificial intelligence,"['Hopu Investment Management', ' Boyu Capital', ' DC Thomson Ventures']",1.3,2019-07-22
53,Red Ventures,0.026026026026026026,0.0,0.0058913536878755,0.32088223681849176,0.0009135889544344164,$1.00 ,2015/1/7,United States,Other,"['Silver Lake Partners', ' General Atlantic']",1.0,2015-01-07
54,Public,0.06506506506506507,0.0034702478259402134,0.09865524373364519,0.364440911499735,0.0018106326712942907,$1.20 ,2021/2/17,United States,Fintech,"['Accel', ' Greycroft', ' Advancit Capital']",1.2,2021-02-17
55,Relativity Space,0.006006006006006006,0.00018634017878950827,0.002680753080412914,0.2954564983178336,0.00039972407451381744,$4.20 ,2020/11/23,United States,Other,"['Playground Global', ' Bond', ' Tribe Capital']",4.2,2020-11-23
56,Course Hero,0.001001001001001001,0.0,2.9281974705980468e-05,0.2059883412824589,0.00025519733283506715,$3.60 ,2020/2/12,United States,Edtech,"['NewView Capital', ' Maveron', ' Ridge Ventures']",3.6,2020-02-12
57,Oda,0.014014014014014014,0.0018029028507735058,0.003483841188759002,0.3131471284659465,0.0008013408882876224,$1.20 ,2021/6/2,Norway,E-commerce & direct-to-consumer,"['Kinnevik', ' Softbank Group', ' Prosus Ventures']",1.2,2021-06-02
58,Clearcover,0.003003003003003003,0.0,2.1440170647048936e-05,0.2072605286707191,0.0004743943695079648,$1.00 ,2021/4/13,United States,Fintech,"['American Family Ventures', ' Cox Enterprises', ' OMERS Ventures']",1.0,2021-04-13
59,Sift,0.050050050050050046,0.004172100076854677,0.03450033384098192,0.36526730812445096,0.0016067041218637834,$1.00 ,2021/4/22,United States,Artificial intelligence,"['Union Square Ventures', ' Insight Partners', ' Spark Capital']",1.0,2021-04-22
60,Skydio,0.1031031031031031,0.0061502541223964905,0.11946005473740255,0.39832562532859267,0.0026247872464545425,$1.00 ,2021/2/25,United States,"Supply chain, logistics, & delivery","['Andreessen Horowitz', ' Andreessen Horowitz', ' Institutional Venture Partners', ' Accel']",1.0,2021-02-25
61,Podium,0.08108108108108109,0.0045118793192584624,0.10513073012276042,0.3754845754845754,0.002208941693848721,$3.00 ,2020/4/7,United States,Internet software & services,"['Accel', ' Summit Partners', ' Google Ventures']",3.0,2020-04-07
62,Claroty,0.02002002002002002,0.0,0.004339124174451592,0.3133908227293441,0.0007941378742549658,$1.00 ,2021/6/17,United States,Cybersecurity,"['Bessemer Venture Partners', ' MoreVC', ' Team8']",1.0,2021-06-17
63,Dragos,0.0,0.0,1.6061835351655795e-59,0.0,0.0001624255549540131,$1.70 ,2021/10/28,United States,Cybersecurity,"['DataTribe', ' Energy Impact Partners', ' AllegisCyber Capital']",1.7,2021-10-28
64,Manner,0.023023023023023025,0.002660574890974963,0.00714356038884443,0.3479111941314965,0.0009155331512856008,$1.30 ,2020/12/24,China,Other,"['Coatue Management', ' H Capital', ' Capital Today']",1.3,2020-12-24
65,CAIS,0.002002002002002002,0.0,0.00011929409185169959,0.249895877882226,0.00032361103433158766,$1.00 ,2022/1/11,United States,Fintech,"['Franklin Templeton', ' Motive Partners. Apollo Global Management']",1.0,2022-01-11
66,WEMAKEPRICE,0.0,0.0,1.6061835351655795e-59,0.0,0.0001624255549540131,$2.34 ,2015/9/9,South Korea,E-commerce & direct-to-consumer,"['IMM Investment', ' NXC']",2.34,2015-09-09
67,ASAPP,0.003003003003003003,5.660645658918799e-05,7.391082345989545e-05,0.23772562408926043,0.0003834745774414836,$1.60 ,2021/5/19,United States,Artificial intelligence,"['March Capital Partners', ' HOF Capital', ' Emergence Capital Partners']",1.6,2021-05-19
68,BYJU's,0.05205205205205205,0.00437865317884509,0.01562139149062799,0.34287544249230073,0.0016381067440806275,$21.00 ,2017/7/25,India,Edtech,"['Tencent Holdings', ' Lightspeed India Partners', ' Sequoia Capital India']",21.0,2017-07-25
69,NuCom Group,0.026026026026026026,0.0,0.0058913536878755,0.32088223681849176,0.0009135889544344164,$2.20 ,2018/2/22,Germany,Other,['General Atlantic'],2.2,2018-02-22
70,1Password,0.056056056056056056,0.0,0.09727440366157482,0.35622043981177104,0.0014207699989663737,$6.80 ,2021/7/8,Canada,Cybersecurity,"['Slack Fund', ' Accel', ' Skip Capital']",6.8,2021-07-08
71,Exotec,0.001001001001001001,0.0,0.0015702812954918018,0.2553628454072335,0.00018661945290436468,$2.00 ,2022/1/17,France,Hardware,"['Breega Capital', ' Iris Capital', ' 360 Capital Partners']",2.0,2022-01-17
72,Bolt+,0.0,0.0,1.6061835351655795e-59,0.0,0.0001624255549540131,$8.40 ,2018/5/29,Estonia,Auto & transportation,"['Didi Chuxing', ' Diamler', ' TMT Investments']",8.4,2018-05-29
73,Tonal,0.005005005005005005,0.00022859327099267822,0.0006168772821863414,0.2615831160813298,0.00050458798185571,$1.60 ,2021/3/31,United States,E-commerce & direct-to-consumer,"['Mayfield Fund', ' Shasta Ventures', ' L Catterton']",1.6,2021-03-31
74,Heyday,0.04704704704704705,0.0009040864526412678,0.01668124579912638,0.35527764200018275,0.0014331032661219051,$1.00 ,2021/11/16,United States,E-commerce & direct-to-consumer,"['Khosla Ventures', 'General Catalyst', ' Victory Park Capital']",1.0,2021-11-16
75,Rippling,0.04104104104104104,0.001781737013707318,0.02363173681113178,0.3584398818043678,0.0012813164386281182,$6.50 ,2020/8/4,United States,Internet software & services,"['Initialized Capital', ' Y Combinator', ' Kleiner Perkins Caufield & Byers']",6.5,2020-08-04
76,Merama,0.012012012012012012,0.0010054769622056747,0.001510716110264693,0.2922403535611083,0.0009017526326946257,$1.20 ,2021/12/9,Mexico,E-commerce & direct-to-consumer,"['SoftBank Latin America Fund', ' Advent International', ' Balderton Capital']",1.2,2021-12-09
77,BrowserStack,0.09309309309309309,0.002980782434408587,0.12168268345708888,0.38984240775141066,0.0023609366652438397,$4.00 ,2021/6/16,Ireland,Internet software & services,"['Accel', ' Insight Partners', ' Bond Capital']",4.0,2021-06-16
78,Pristyn Care,0.025025025025025023,0.0,0.011655810931584428,0.31834561834561836,0.0008505076934799714,$1.40 ,2021/12/7,India,Health,"['Sequoia Capital India', ' Hummingbird Ventures', ' Epiq Capital']",1.4,2021-12-07
79,TripActions,0.07607607607607608,0.0082881954171736,0.030947934517349455,0.3768902266796511,0.002309893750508538,$7.25 ,2018/11/8,United States,Travel,"['Andreessen Horowitz', ' Lightspeed Venture Partners', ' Zeev Ventures']",7.25,2018-11-08
80,Carta,0.018018018018018018,0.0011332710143198532,0.004589625289772538,0.3148609907796772,0.0008762985793677792,$7.40 ,2019/5/6,United States,Fintech,"['Menlo Ventures', ' Spark Capital', ' Union Square Ventures']",7.4,2019-05-06
81,Outschool,0.04604604604604605,0.0,0.04609440097285061,0.3659311287662037,0.0012833919165176635,$3.00 ,2021/4/14,United States,Edtech,"['Uniion Square Ventures', ' Tiger Global Management', ' Lightspeed Venture Capital']",3.0,2021-04-14
82,Standard Cognition,0.031031031031031032,0.0007204515618686001,0.02237065719193403,0.34084401794939245,0.0010095998198481069,$1.00 ,2021/2/17,United States,Artificial intelligence,"['CRV', ' Y Combinator', ' Initialized Capital']",1.0,2021-02-17
83,TrialSpark,0.06106106106106106,0.002665712252363382,0.0414929250686625,0.3608487519777842,0.0017471029506303626,$1.00 ,2021/9/30,United States,Health,"['Sequoia Capital', ' Thrive Capital', ' Sound Ventures']",1.0,2021-09-30
84,Betterment,0.028028028028028028,0.0010864490172193826,0.006507677145410938,0.3286064522294633,0.0010863614700862446,$1.30 ,2021/9/29,United States,Fintech,"['Bessemer Venture Partners', ' Menlo Ventures', ' Anthermis']",1.3,2021-09-29
85,Infobip,0.0,0.0,1.6061835351655795e-59,0.0,0.0001624255549540131,$1.00 ,2020/7/30,Croatia,Mobile & telecommunications,['One Equity Partners'],1.0,2020-07-30
86,Radius Payment Solutions,0.0,0.0,1.6061835351655795e-59,0.0,0.0001624255549540131,$1.07 ,2017/11/27,United Kingdom,Fintech,['Inflexion Private Equity'],1.07,2017-11-27
87,candy.com,0.04904904904904905,0.00353466712070673,0.034843667480501744,0.36543303739310995,0.0015417545835589267,$1.50 ,2021/10/21,United States,Fintech,"['Insight Partners', ' Softbank Group', ' Connect Ventures']",1.5,2021-10-21
88,Checkr,0.07207207207207207,0.0030959366719388337,0.10409173041833342,0.37013530074191836,0.0019196884095666483,$4.60 ,2019/9/19,United States,Internet software & services,"['Y Combinator', ' Accel', ' T. Rowe Price']",4.6,2019-09-19
89,Redis Labs,0.011011011011011011,0.00024988260149903704,0.004928431313397013,0.3146150056306306,0.0005153002534807652,$2.00 ,2020/8/25,United States,Data management & analytics,"['Viola Ventures', ' Dell Technologies Capital', ' Bain Capital Ventures']",2.0,2020-08-25
90,Fractal Analytics,0.001001001001001001,0.0,0.00022141363571459336,0.24332761764785932,0.0001923953776637295,$1.00 ,2022/1/5,India,Data management & analytics,"['TPG Capital', ' Apax Partners', ' TA Associates']",1.0,2022-01-05
91,Firebolt,0.02702702702702703,0.0011841307302653493,0.005094022124030643,0.3202442999659699,0.001120896996862546,$1.40 ,2022/1/26,Israel,Data management & analytics,"['TLV Partners', ' Zeev Ventures', ' Bessemer Venture Partners']",1.4,2022-01-26
92,Sentry,0.07907907907907907,0.004792708866926301,0.10385220477605396,0.37530960597130214,0.0021553238809252965,$1.00 ,2021/2/18,United States,Other,"['New Enterprise Associates', ' Accel', ' Bond']",1.0,2021-02-18
93,LEAD School,0.002002002002002002,4.65613899785454e-06,0.00014217342961154737,0.24974090369439209,0.0002600679242486026,$1.10 ,2022/1/13,India,Edtech,"['WestBridge Capital', ' GSV Ventures', ' Elevar Equity']",1.1,2022-01-13
94,Nxin,0.0,0.0,1.6061835351655795e-59,0.0,0.0001624255549540131,$1.08 ,2018/9/18,China,Internet software & services,"['Beijing Juneng Hesheng Industry Investment Fund', ' Beijing Shuju Xinrong Fund']",1.08,2018-09-18
95,BYTON,0.02702702702702703,0.0,0.004213615669558715,0.3103716433196202,0.0009449145543388622,$2.50 ,2018/4/20,China,Auto & transportation,"['FAW Group', ' Tencent Holdings', ' Tus Holdings']",2.5,2018-04-20
96,Divvy Homes,0.04604604604604605,0.0010731197924436365,0.02474958288715871,0.35356207832063846,0.001356041939592184,$2.00 ,2021/8/13,United States,Fintech,"['Andreessen Horowitz', ' Caffeinated Capital', ' SciFi VC']",2.0,2021-08-13
97,DeepBlue Technology,0.002002002002002002,0.0,7.932844056973997e-05,0.23277873248971515,0.0003432705831834989,$1.35 ,2018/4/16,China,Artificial intelligence,"['DESUN Capital', ' Yunfeng Capital', ' Meridian Capital']",1.35,2018-04-16
98,Matrixport,0.031031031031031032,0.0025704594336502825,0.007986400985684245,0.3543398215637547,0.001160151311956616,$1.00 ,2021/6/1,Singapore,Fintech,"['Dragonfly Captial', ' Qiming Venture Partners', ' DST Global']",1.0,2021-06-01
99,Thumbtack,0.043043043043043044,0.0038303792782423125,0.03587623436381996,0.35340693919017746,0.0013180314224332302,$3.20 ,2015/9/29,United States,E-commerce & direct-to-consumer,"['Tiger Global', ' Sequoia Capital', ' Google Capital']",3.2,2015-09-29
100,OYO Rooms,0.05405405405405406,0.001980325325473185,0.02227998525894212,0.3467130496833467,0.001610030446489845,$9.60 ,2018/9/25,India,Travel,"['SoftBank Group', ' Sequoia Capital India', 'Lightspeed India Partners']",9.6,2018-09-25
101,Automattic,0.005005005005005005,4.904246104628731e-05,0.0010961400684917292,0.27975491990775075,0.00034312814665477724,$1.80 ,2013/5/27,United States,Internet software & services,"['Insight Venture Partners', ' Lowercase Capital', ' Polaris Partners']",1.8,2013-05-27
102,iFood,0.0,0.0,1.6061835351655795e-59,0.0,0.0001624255549540131,$1.00 ,2018/11/13,Brazil,"Supply chain, logistics, & delivery","['Movile', ' Just Eat', ' Naspers']",1.0,2018-11-13
103,Tezign,0.04804804804804805,0.0003897451599389219,0.008424356536429145,0.3247638767800058,0.0014695326524074275,$1.00 ,2021/11/2,China,Internet software & services,"['Sequoia Capital China', ' Linear Venture', ' Hearst Ventures']",1.0,2021-11-02
104,Cybereason,0.04504504504504504,0.002410183858532352,0.017628272016612895,0.3449312267299419,0.0014468155256169824,$2.44 ,2019/8/6,United States,Cybersecurity,"['SoftBank Group', ' CRV', ' Spark Capital']",2.44,2019-08-06
105,Qumulo,0.026026026026026026,0.010710818852954619,0.0071900579412048455,0.3444886289197666,0.0012532609294193242,$1.20 ,2020/7/16,United States,Data management & analytics,"['Madrona Venture Group', ' Kleiner Perkins Caufield & Byers', ' Highland Capital Partners']",1.2,2020-07-16
106,ApplyBoard,0.002002002002002002,4.0666609474065515e-06,0.0017056478750702485,0.2721914208903057,0.00022108190008059608,$3.00 ,2020/5/5,Canada,Edtech,"['Artiman Ventures', ' Plug and Play Ventures', ' Anthos Capital']",3.0,2020-05-05
107,Avant,0.003003003003003003,0.0020623721441243074,0.0005793526740430359,0.25471676610196536,0.0005578660914447412,$2.00 ,2012/12/17,United States,Artificial intelligence,"['RRE Ventures', ' Tiger Global', ' August Capital']",2.0,2012-12-17
108,Vestiaire Collective,0.012012012012012012,0.0019985054955578446,0.0013915367597668196,0.29160550847734046,0.0009589263967725676,$1.70 ,2021/3/1,France,E-commerce & direct-to-consumer,"['Eurazeo', ' IDInvest Partners', ' Balderton Capital']",1.7,2021-03-01
109,Zeta,0.03003003003003003,0.0,0.011965718776462677,0.32634295559741267,0.0009404459767523467,$1.45 ,2021/5/24,United States,Fintech,"['Sodexo Ventures', ' SoftBank Group']",1.45,2021-05-24
110,Mofang Living,0.012012012012012012,0.0035907651138112062,0.0016055255676753297,0.29341144423111637,0.0008466550753951052,$1.50 ,2016/4/13,China,E-commerce & direct-to-consumer,"['Warburg Pincus', ' Aviation Industry Corporation of China']",1.5,2016-04-13
111,MasterClass,0.031031031031031032,0.0042463441634331646,0.014988715928679217,0.34026802467867107,0.0012718375992862333,$2.75 ,2021/5/13,United States,Edtech,"['Institutional Venture Partners', ' New Enterprise Associates', ' Javelin Venture Partners']",2.75,2021-05-13
112,Rebellion Defense,0.01001001001001001,0.00013215349836691564,0.002129948345040178,0.3029012464890614,0.0005040410621962863,$1.15 ,2021/9/16,United States,Artificial intelligence,"['Venrock', ' Innovation Endeavors', ' Insights Partners']",1.15,2021-09-16
113,HighRadius,0.013013013013013013,0.0018711841086427158,0.002353310696654271,0.2985227629408504,0.0008526655820240198,$3.10 ,2020/1/7,United States,Fintech,"['Susquehanna Growth Equity', ' Citi Ventures', ' ICONIQ Capital']",3.1,2020-01-07
114,Improbable,0.07207207207207207,0.003890589628384546,0.03467755647363252,0.37565970821567835,0.0020235730175623043,$2.00 ,2017/5/11,United Kingdom,Other,"['Andreessen Horowitz', ' SoftBank Group', ' Temasek Holdings']",2.0,2017-05-11
